Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,24,24,48,56,57,57
Reserves,881,1023,1226,1372,1772,2096,2518
Borrowings,400,507,533,580,360,290,337
  └─ Long term Borrowings,68,71,59,27,0,0,1
  └─ Short term Borrowings,327,427,462,489,289,222,231
  └─ Lease Liabilities,4,8,11,65,71,68,105
  └─ Other Borrowings,0,0,0,-0,0,-0,
Other Liabilities,242,161,268,633,681,1074,1710
  └─ Trade Payables,181,114,168,440,429,762,1364
  └─ Advance from Customers,10,4,26,70,52,89,
  └─ Other liability items,51,44,74,123,199,223,346
Total Liabilities,1545,1715,2051,2634,2869,3517,4621
Fixed Assets,391,399,398,517,535,769,1173
  └─ Land,38.89,38.89,40.12,40.86,58.58,81.17,
  └─ Building,126.36,137.99,141.92,168.11,174.91,271.40,
  └─ Plant Machinery,268.90,298.42,322.30,385.87,418.56,556.85,
  └─ Equipments,7.94,8.97,11.54,18.34,18.83,20.59,
  └─ Furniture n fittings,27.01,27.92,32.21,40.09,42.12,53.12,
  └─ Vehicles,15.38,17.34,16.92,20.68,21.53,21.47,
  └─ Intangible Assets,5.30,5.30,5.30,5.30,5.30,5.30,0.21
  └─ Other fixed assets,15.12,22.14,29.00,96.04,112.02,142.90,
  └─ Gross Block,504.90,556.97,599.31,775.29,851.85,1152.80,
  └─ Accumulated Depreciation,114.37,157.55,200.82,258.13,317.23,383.82,
CWIP,15,7,43,44,164,235,72
Investments,221,237,268,363,342,239,255
Other Assets,919,1072,1342,1710,1830,2274,3121
  └─ Inventories,375,534,710,860,898,1011,1771
  └─ Trade receivables,419,420,517,592,641,823,998
  └─ Cash Equivalents,11,8,12,81,99,227,91
  └─ Loans n Advances,30,48,43,56,43,46,7
  └─ Other asset items,83,61,59,121,149,167,255
Total Assets,1545,1715,2051,2634,2869,3517,4621
