Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,167,167,168,168,169,169,260,260,261
Reserves,6401,7376,7830,8755,9703,10845,14715,16603,18959
Borrowing,53777,71859,67735,59392,52961,53621,55017,62310,71199
Other Liabilities,2670,4466,3197,3077,2897,2238,2414,3348,3094
  └─ Trade Payables,120,127,87,18,16,30,20,18,15
  └─ Advance from Customers,0,136,437,176,207,135,73,87,
  └─ Other liability items,2551,4203,2673,2883,2673,2073,2321,3243,3080
Total Liabilities,63014,83869,78930,71392,65730,66874,72405,82520,93512
Fixed Assets,76,103,251,181,150,146,207,239,279
  └─ Building,27.17,45.69,239.41,212.48,221.51,247.17,261.95,278.17,
  └─ Equipments,16.74,27.67,30.92,29.93,31.79,31.74,33.72,37.64,
  └─ Computers,15.54,23.47,24.35,24.44,31.92,41.31,53.31,66.22,
  └─ Furniture n fittings,17.94,22.72,23.35,22.12,19.70,19.13,19.18,20.71,
  └─ Vehicles,0.10,0.10,0.10,0.10,0.10,0.00,0.31,0.31,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.89
  └─ Other fixed assets,22.22,36.73,47.75,52.85,58.39,62.28,72.53,87.56,
  └─ Gross Block,99.71,156.38,365.88,341.92,363.41,401.63,441.00,490.61,
  └─ Accumulated Depreciation,23.59,53.27,114.80,160.65,213.01,255.32,234.22,251.43,
CWIP,10,5,4,2,4,3,15,16,1
Investments,2413,4561,2076,2045,3483,3196,4346,3381,2779
Other Assets,60516,79200,76599,69164,62093,63528,67837,78884,90453
  └─ Trade receivables,0,39,45,45,43,13,51,50,47
  └─ Cash Equivalents,2817,4034,8514,6969,5216,3796,2607,3600,3339
  └─ Loans n Advances,48,118,67,3,53,274,195,18,86433
  └─ Other asset items,57650,75009,67973,62147,56781,59445,64983,75217,634
Total Assets,63014,83869,78930,71392,65730,66874,72405,82520,93512
