Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,20,20,20,20
Reserves,72,84,92,84,92
Borrowings,54,83,148,196,182
  └─ Long term Borrowings,0,19,72,61,60
  └─ Short term Borrowings,54,63,74,132,119
  └─ Lease Liabilities,0,0,2,4,3
  └─ Other Borrowings,0,0,0,0,
Other Liabilities,53,62,67,92,93
  └─ Trade Payables,38,40,48,69,67
  └─ Advance from Customers,1,1,1,1,
  └─ Other liability items,15,21,17,21,26
Total Liabilities,199,248,327,392,387
Fixed Assets,44,64,148,146,135
  └─ Land,15.10,37.97,39.28,39.46,
  └─ Building,20.48,20.62,42.34,45.06,
  └─ Plant Machinery,46.43,46.73,109.02,112.16,
  └─ Equipments,0.42,0.45,0.41,0.50,
  └─ Computers,0.47,0.55,0.60,0.67,
  └─ Furniture n fittings,1.74,1.89,1.91,2.79,
  └─ Vehicles,1.57,1.54,1.77,1.22,
  └─ Intangible Assets,6.23,6.23,6.23,6.23,0.32
  └─ Other fixed assets,1.27,1.26,4.10,7.33,
  └─ Gross Block,93.71,117.24,205.66,215.42,
  └─ Accumulated Depreciation,49.69,53.20,57.28,69.71,
CWIP,0,12,2,0,0
Investments,1,0,0,0,0
Other Assets,155,172,176,246,252
  └─ Inventories,51,51,55,80,80
  └─ Trade receivables,82,92,98,137,150
    └─ Receivables over 6m,4,5,6,9,
    └─ Receivables under 6m,79,89,95,131,
    └─ Prov for Doubtful,-2,-1,-3,-4,
  └─ Cash Equivalents,5,4,1,1,1
  └─ Loans n Advances,2,2,2,8,11
  └─ Other asset items,15,24,20,22,11
Total Assets,199,248,327,392,387
