Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,8,8,8,8,12,12,12,12,12,12
Reserves,224,740,872,1004,926,1428,1222,1356,2058,2512
Borrowings,13,12,19,14,14,0,5,0,0,0
  └─ Short term Borrowings,13.49,12.06,19.27,13.53,13.58,0.00,5.33,0.00,0.00,0.00
Other Liabilities,46,59,56,109,105,190,129,134,240,316
  └─ Non controlling int,0,0,1,1,1,1,1,0,0,0
  └─ Trade Payables,36,42,42,44,36,74,62,59,61,61
  └─ Advance from Customers,0,0,0,0,0,0,3,0,0,
  └─ Other liability items,10,16,13,64,68,115,64,75,179,255
Total Liabilities,292,819,955,1135,1057,1631,1369,1502,2311,2841
Fixed Assets,11,14,16,17,17,17,17,19,20,20
  └─ Land,2.87,6.76,6.78,6.78,6.78,6.78,6.78,7.38,7.38,
  └─ Building,8.53,3.41,3.41,4.75,4.75,4.75,4.75,5.42,5.43,
  └─ Plant Machinery,0.85,0.38,0.44,0.44,0.48,0.49,0.71,0.88,0.92,
  └─ Equipments,2.93,0.53,0.62,0.72,0.88,1.02,1.03,1.55,1.37,
  └─ Furniture n fittings,2.49,0.72,0.99,1.52,1.78,1.80,2.09,2.93,3.05,
  └─ Vehicles,1.49,1.16,1.38,1.50,1.75,1.76,1.84,2.37,2.57,
  └─ Intangible Assets,0.00,0.00,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.95
  └─ Other fixed assets,1.81,1.23,1.24,1.23,1.24,1.24,1.24,1.24,1.24,
  └─ Gross Block,20.97,14.19,17.53,19.61,20.33,20.51,21.11,24.44,24.63,
  └─ Accumulated Depreciation,10.13,0.65,1.40,2.13,2.96,3.85,4.41,5.04,4.83,
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,116,675,791,962,858,1412,1168,1286,2063,2579
Other Assets,165,131,148,156,182,203,184,196,228,242
  └─ Inventories,49,45,52,56,63,51,69,82,78,77
  └─ Trade receivables,56,58,67,75,79,77,91,91,98,116
  └─ Cash Equivalents,56,14,23,17,26,68,16,17,44,44
  └─ Loans n Advances,1,2,1,3,4,1,3,3,1,0
  └─ Other asset items,5,12,5,5,10,6,5,4,7,6
Total Assets,292,819,955,1135,1057,1631,1369,1502,2311,2841
