Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,16,16,16,16,16,16
Reserves,-0,1907,2417,2650,2722,2911,3110
Borrowings,0,556,238,407,740,764,792
  └─ Long term Borrowings,0,456,100,150,426,363,322
  └─ Short term Borrowings,0,90,129,247,307,393,459
  └─ Lease Liabilities,0,10,9,10,7,7,11
  └─ Other Borrowings,0,0,0,0,-0,0,
Other Liabilities,0,888,1111,1176,1241,1324,1566
  └─ Trade Payables,0,694,798,801,767,815,941
  └─ Other liability items,0,193,313,375,475,509,625
Total Liabilities,0,3366,3782,4249,4719,5015,5484
Fixed Assets,0,1805,1798,1846,2539,2581,3183
  └─ Land,0.00,69.67,75.51,84.50,82.60,82.44,
  └─ Building,0.00,320.27,327.52,344.53,422.66,467.76,
  └─ Plant Machinery,0.00,1875.81,1966.14,2089.33,2813.66,2930.27,
  └─ Equipments,0.00,35.46,39.82,44.49,50.58,52.50,
  └─ Furniture n fittings,0.00,11.37,11.50,11.53,12.46,12.43,
  └─ Railway sidings,0.00,10.84,10.84,10.84,10.84,10.84,
  └─ Vehicles,0.00,4.98,4.04,8.11,6.87,9.16,
  └─ Intangible Assets,0.00,8.07,8.07,8.07,8.07,8.07,35.02
  └─ Other fixed assets,0.00,16.18,16.18,24.13,32.81,40.47,
  └─ Gross Block,0.00,2352.65,2459.62,2625.53,3440.55,3613.94,
  └─ Accumulated Depreciation,0.00,547.56,661.34,779.35,901.84,1032.97,
CWIP,0,65,174,525,331,525,154
Investments,0,50,6,8,15,37,33
Other Assets,0,1446,1804,1870,1834,1872,2113
  └─ Inventories,0,609,911,1035,941,943,880
  └─ Trade receivables,0,471,581,511,572,607,783
  └─ Cash Equivalents,0,117,49,85,80,99,190
  └─ Loans n Advances,0,64,53,70,63,68,13
  └─ Other asset items,0,185,210,169,177,155,247
Total Assets,0,3366,3782,4249,4719,5015,5484
