Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2.32,2.32,2.32
Reserves,7.26,8.92,12.75
Borrowings,5.70,14.39,27.26
  └─ Long term Borrowings,0.13,4.70,15.18
  └─ Short term Borrowings,5.57,9.69,12.08
Other Liabilities,3.23,14.53,29.04
  └─ Trade Payables,1.50,12.09,13.05
  └─ Advance from Customers,0.32,0.72,
  └─ Other liability items,1.41,1.72,15.99
Total Liabilities,18.51,40.16,71.37
Fixed Assets,2.36,4.19,12.57
  └─ Land,0.51,0.51,
  └─ Building,0.73,0.73,
  └─ Plant Machinery,1.09,3.09,
  └─ Equipments,0.09,0.12,
  └─ Computers,0.11,0.14,
  └─ Furniture n fittings,0.12,0.12,
  └─ Vehicles,0.25,0.25,
  └─ Intangible Assets,0.00,0.00,0.01
  └─ Other fixed assets,0.00,0.01,
  └─ Gross Block,2.90,4.97,
  └─ Accumulated Depreciation,0.54,0.78,
CWIP,-0.00,-0.00,-0.00
Investments,-0.00,-0.00,2.08
Other Assets,16.15,35.97,56.72
  └─ Inventories,5.74,12.41,17.18
  └─ Trade receivables,7.42,19.15,9.69
    └─ Receivables over 6m,1.42,3.60,
    └─ Receivables under 6m,6.00,15.55,
  └─ Cash Equivalents,0.30,0.46,1.07
  └─ Loans n Advances,2.60,3.61,24.46
  └─ Other asset items,0.09,0.34,4.32
Total Assets,18.51,40.16,71.37
