Metric,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,45,45,45,45,45,45,45,45
Reserves,224,377,420,514,641,786,823,842,825
Borrowings,212,392,298,162,158,61,103,120,155
  └─ Long term Borrowings,0,48,22,6,5,9,2,1,8
  └─ Short term Borrowings,0,298,235,122,122,8,60,83,84
  └─ Lease Liabilities,0,46,42,34,31,44,41,36,63
  └─ Other Borrowings,212,0,0,0,0,-0,0,0,
Other Liabilities,149,147,141,181,205,182,170,169,230
  └─ Trade Payables,0,70,53,90,90,70,84,91,135
  └─ Advance from Customers,0,0,5,0,0,0,0,1,
  └─ Other liability items,149,77,84,91,115,112,85,77,94
Total Liabilities,608,961,904,901,1048,1074,1140,1176,1255
Fixed Assets,257,356,340,322,325,337,330,325,359
  └─ Land,27,35,33,33,33,33,33,33,
  └─ Building,49,131,123,126,128,146,145,153,
  └─ Plant Machinery,108,305,323,314,346,339,352,368,
  └─ Equipments,0,12,12,13,14,12,13,13,
  └─ Computers,12,12,13,14,15,16,19,19,
  └─ Furniture n fittings,3,5,5,5,5,6,6,5,
  └─ Vehicles,7,11,10,10,11,10,12,12,
  └─ Intangible Assets,0,60,60,59,62,66,66,67,78
  └─ Other fixed assets,50,13,18,19,20,20,21,21,
  └─ Gross Block,257,584,599,593,632,648,667,691,
  └─ Accumulated Depreciation,0,228,259,270,308,311,337,366,
CWIP,2,9,10,2,2,7,13,12,3
Investments,0,0,0,1,0,25,156,245,205
Other Assets,349,597,554,575,721,705,641,594,688
  └─ Inventories,218,370,358,347,459,470,436,393,430
  └─ Trade receivables,82,145,123,168,194,155,133,113,141
  └─ Cash Equivalents,8,15,17,11,14,39,19,33,47
  └─ Loans n Advances,4,6,5,6,7,9,9,14,7
  └─ Other asset items,38,60,51,44,48,32,44,41,62
Total Assets,608,961,904,901,1048,1074,1140,1176,1255
