Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,3.88,3.88,3.88,3.88,3.88,0.92,0.92,0.92,0.92,0.92,0.92,0.92
Reserves,-1.63,-2.37,-2.57,-2.56,-2.58,0.27,0.18,-0.23,-0.48,-0.51,-0.66,-0.60
Borrowings,1.22,1.09,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Long term Borrowings,1.10,1.09,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities,0.58,0.06,0.15,0.09,0.06,0.02,0.03,0.04,0.03,0.03,0.03,0.02
  └─ Trade Payables,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other liability items,0.17,0.06,0.15,0.09,0.06,0.02,0.03,0.04,0.03,0.03,0.03,0.02
Total Liabilities,4.05,2.66,2.43,2.38,1.36,1.21,1.13,0.73,0.47,0.44,0.29,0.34
Fixed Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Equipments,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Gross Block,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Accumulated Depreciation,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.45,0.45,0.00,0.00,0.00,0.66,0.41,0.41,0.41,0.41,0.23,0.23
Other Assets,3.60,2.21,2.43,2.38,1.36,0.55,0.72,0.32,0.06,0.03,0.06,0.11
  └─ Inventories,1.01,0.10,0.17,0.20,0.25,0.08,0.05,0.04,0.00,0.00,0.00,0.02
  └─ Trade receivables,0.07,0.07,0.09,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Cash Equivalents,0.31,0.11,0.09,0.08,0.41,0.47,0.67,0.27,0.05,0.02,0.05,0.08
  └─ Other asset items,2.21,1.93,2.08,2.02,0.68,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Total Assets,4.05,2.66,2.43,2.38,1.36,1.21,1.13,0.73,0.47,0.44,0.29,0.34
