Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,17,17,17,17,17,17,17,17,17,26,26,26,
Reserves,152,149,86,94,110,125,119,161,189,323,324,276,
Borrowings,20,21,18,15,16,15,24,11,12,12,176,145,
  └─ Long term Borrowings,6,3,0,0,0,0,0,0,0,1,164,145,
  └─ Short term Borrowings,11,15,0,0,0,0,0,0,0,0,0,0,
  └─ Other Borrowings,3,3,18,15,16,15,24,11,12,10,12,,
Other Liabilities,36,35,18,16,27,16,15,15,15,175,14,37,
  └─ Trade Payables,14.99,9.83,5.93,4.74,7.66,5.47,2.89,2.02,1.15,2.86,5.50,14.55,
  └─ Other liability items,20.87,25.45,11.61,11.10,19.73,10.66,12.09,12.63,14.09,172.18,8.47,22.02,
Total Liabilities,224,222,139,142,170,173,174,203,234,536,540,483,
Fixed Assets,135,142,91,91,106,118,115,119,129,414,415,371,
  └─ Plant Machinery,1,1,0,0,0,0,0,0,0,0,0,,
  └─ Equipments,0,0,0,0,0,0,0,0,0,1,1,,
  └─ Computers,5,5,0,0,1,1,1,1,1,16,16,,
  └─ Furniture n fittings,1,1,0,0,0,0,0,0,0,5,5,,
  └─ Vehicles,1,1,0,0,0,0,0,0,0,1,1,,
  └─ Intangible Assets,137,145,90,91,106,118,115,118,129,395,398,367,
  └─ Other fixed assets,1,1,0,0,0,0,0,0,0,0,-0,,
  └─ Gross Block,146,154,91,91,107,119,116,120,130,418,422,,
  └─ Accumulated Depreciation,11,12,0,0,1,1,1,1,1,4,6,,
CWIP,0,0,0,0,0,0,0,0,0,6,6,6,
Investments,0,0,0,0,0,0,0,0,0,0,0,0,
Other Assets,89,80,48,51,64,55,59,84,104,117,119,107,
  └─ Inventories,0,0,0,0,0,0,0,0,0,2,2,0,
  └─ Trade receivables,45,40,29,26,32,31,27,24,30,45,36,60,
    └─ Receivables over 6m,7.66,7.56,0.00,0.76,0.00,0.00,0.00,0.00,0.24,9.59,9.68,,0.00
    └─ Receivables under 6m,37.21,32.32,28.72,25.56,32.62,30.70,27.29,25.62,29.66,37.86,28.09,,42.26
    └─ Prov for Doubtful,0.00,0.00,-0.18,-0.18,-0.18,-0.18,-0.18,-1.55,0.00,-2.09,-2.04,,0.00
  └─ Cash Equivalents,9,7,1,4,8,3,18,6,6,10,8,8,
  └─ Loans n Advances,2,4,15,18,16,16,7,23,20,8,8,23,
  └─ Other asset items,33,29,3,3,6,5,6,31,48,51,65,16,
Total Assets,224,222,139,142,170,173,174,203,234,536,540,483,
