Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.65,0.65,0.65,0.90,1,10,12,12,24
Reserves,4,5,3,5,12,28,97,181,222
Borrowings,2,3,4,2,2,0,4,11,15
  └─ Long term Borrowings,1.90,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.08
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.52
  └─ Other Borrowings,0.13,0.20,3.64,2.50,1.97,0.21,4.42,10.81,
Other Liabilities,1,1,1,1,4,10,63,66,83
  └─ Non controlling int,0,0,0,0,3,3,41,58,72
  └─ Trade Payables,0,0,0,0,0,0,0,0,2
  └─ Advance from Customers,0,0,0,0,0,1,0,0,
  └─ Other liability items,1,1,1,1,1,6,23,8,9
Total Liabilities,8,9,8,10,20,48,177,270,344
Fixed Assets,4,3,3,3,9,10,41,41,30
  └─ Building,3.05,3.05,3.05,3.05,3.05,3.30,9.56,12.26,
  └─ Equipments,0.15,0.17,0.18,0.19,0.10,0.32,0.41,0.44,
  └─ Computers,0.21,0.26,0.26,0.29,0.19,0.42,0.54,0.79,
  └─ Furniture n fittings,0.76,0.76,0.77,0.77,0.73,1.78,3.13,3.13,
  └─ Vehicles,0.00,0.00,0.01,0.01,0.01,0.01,0.23,0.53,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,6.85,6.85,6.85
  └─ Other fixed assets,0.00,0.00,0.00,0.00,6.10,6.00,24.79,28.33,
  └─ Gross Block,4.17,4.24,4.27,4.31,10.18,11.83,45.51,52.33,
  └─ Accumulated Depreciation,0.67,0.83,0.98,1.14,0.81,1.62,4.98,11.05,
CWIP,0,0,0,0,0,0,0,0,0
Investments,3,4,4,5,8,33,50,129,159
Other Assets,1,2,1,2,2,5,86,100,155
  └─ Inventories,0,0,0,0,0,0,51,69,134
  └─ Trade receivables,0,0,0,1,0,1,2,2,10
    └─ Receivables over 6m,0.04,0.08,0.15,0.15,0.00,0.00,0.45,0.54,
    └─ Receivables under 6m,0.06,0.14,0.01,1.08,0.49,0.58,1.71,1.74,
  └─ Cash Equivalents,0,0,0,0,1,1,21,17,1
  └─ Loans n Advances,0,1,0,0,1,2,9,2,3
  └─ Other asset items,1,1,1,0,0,1,4,10,7
Total Assets,8,9,8,10,20,48,177,270,344
