Metric,Mar 2025,Mar 2026
Equity Capital,4.62,5.93
Reserves,8.01,28.94
Borrowings,2.49,6.71
  └─ Long term Borrowings,2.04,2.55
  └─ Short term Borrowings,0.45,4.16
Other Liabilities,11.04,18.80
  └─ Trade Payables,8.25,10.82
  └─ Other liability items,2.79,7.98
Total Liabilities,26.16,60.38
Fixed Assets,0.48,2.10
  └─ Intangible Assets,-0.00,0.04
CWIP,0.00,3.44
Investments,0.00,0.00
Other Assets,25.68,54.84
  └─ Inventories,4.25,2.95
  └─ Trade receivables,11.88,38.82
  └─ Cash Equivalents,3.87,3.60
  └─ Loans n Advances,0.71,1.46
  └─ Other asset items,4.97,8.01
Total Assets,26.16,60.38
