Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,375,420,427,509,598,600,600,605,608,618
Reserves,3961,6261,7108,10056,12068,11931,12926,14232,15062,15931
Deposits,34588,43883,58358,57812,73055,79006,84875,103470,110933,138959
Borrowing,7980,9261,11832,17007,11226,11098,13332,14185,13735,16796
Other Liabilities,1771,2052,2673,3600,3672,3528,4074,5961,6435,8442
  └─ Non controlling int,0,19,0,0,0,0,0,0,0,0
  └─ Trade Payables,253,238,199,157,272,263,655,722,780,0
  └─ Other liability items,1518,1795,2474,3443,3400,3265,3419,5239,5654,8442
Total Liabilities,48676,61877,80398,88983,100619,106163,115806,138454,146772,180747
Fixed Assets,224,327,416,471,511,538,594,591,638,582
  └─ Building,7.52,7.52,50.58,51.93,51.93,51.93,51.93,51.94,51.97,
  └─ Other fixed assets,418.23,611.63,761.76,952.10,1138.26,1317.06,1521.66,1669.82,1918.42,
  └─ Gross Block,425.75,619.15,812.34,1004.03,1190.19,1368.99,1573.59,1721.76,1970.39,
  └─ Accumulated Depreciation,201.58,292.51,396.10,533.35,678.76,831.44,979.71,1130.52,1332.86,
CWIP,35,31,40,62,24,82,45,7,7,0
Investments,13482,15397,16745,18055,23085,22129,28730,29478,32103,32059
Other Assets,34934,46122,63196,70396,76998,83414,86436,108378,114025,148107
  └─ Cash Equivalents,2783,2374,4687,6175,6437,12818,5921,11793,10752,14012
  └─ Loans n Advances,0,13,45,47,37,50,11,103,187,114232
  └─ Other asset items,32151,43735,58465,64174,70524,70547,80504,96482,103085,19863
Total Assets,48676,61877,80398,88983,100619,106163,115806,138454,146772,180747
