Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86
Reserves,35.70,32.77,20.37,1.86,-9.67,-10.56,-9.65,-8.52,-10.24,-10.95,-12.71
Borrowings,90.95,67.02,58.93,51.71,15.32,14.51,14.42,14.42,18.11,17.98,19.64
  └─ Long term Borrowings,36.09,28.56,22.94,23.15,12.87,14.42,0.59,13.83,17.33,17.98,19.64
  └─ Short term Borrowings,35.09,30.02,28.55,22.38,0.00,0.09,13.83,0.59,0.78,0.00,0.00
  └─ Other Borrowings,19.77,8.44,7.44,6.18,2.45,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,33.40,9.62,11.14,21.48,8.79,7.81,6.02,5.63,3.08,2.73,3.21
  └─ Trade Payables,12.73,2.18,4.51,5.98,1.96,3.61,1.57,2.69,2.15,0.78,1.18
  └─ Advance from Customers,0.00,0.00,0.35,10.33,1.78,2.28,2.41,0.63,0.00,0.00,
  └─ Other liability items,20.67,7.44,6.28,5.17,5.05,1.92,2.04,2.31,0.93,1.95,2.03
Total Liabilities,163.91,113.27,94.30,78.91,18.30,15.62,14.65,15.39,14.81,13.62,14.00
Fixed Assets,92.97,74.10,52.90,26.41,11.55,11.26,10.96,10.67,10.38,10.04,9.87
  └─ Land,16.15,16.15,14.24,5.10,5.10,5.10,5.10,5.10,5.10,5.10,
  └─ Building,38.99,25.55,18.12,7.46,7.50,7.50,7.50,7.50,7.50,7.50,
  └─ Plant Machinery,112.06,37.02,26.88,19.35,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Equipments,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
  └─ Furniture n fittings,0.29,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,
  └─ Vehicles,1.94,0.85,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
  └─ Wind turbines,48.21,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other fixed assets,0.03,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Gross Block,217.99,79.70,60.13,32.72,13.41,13.41,13.41,13.41,13.41,13.41,
  └─ Accumulated Depreciation,125.01,5.60,7.24,6.30,1.86,2.15,2.44,2.73,3.03,3.37,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,1.41,1.96,1.73,1.27,1.30,1.34,1.98,2.03,2.08,2.16,2.22
Other Assets,69.53,37.21,39.67,51.23,5.45,3.02,1.71,2.69,2.35,1.42,1.91
  └─ Inventories,36.00,21.97,26.72,15.16,0.79,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade receivables,18.04,5.28,2.83,2.87,3.03,1.13,0.00,1.29,1.59,0.64,1.13
  └─ Cash Equivalents,0.69,0.16,0.18,0.15,0.16,0.29,-0.02,0.05,0.03,0.03,0.03
  └─ Loans n Advances,0.28,0.86,0.53,0.19,0.01,0.12,0.16,0.23,0.08,0.00,0.63
  └─ Other asset items,14.52,8.94,9.41,32.86,1.46,1.48,1.57,1.12,0.65,0.75,0.12
Total Assets,163.91,113.27,94.30,78.91,18.30,15.62,14.65,15.39,14.81,13.62,14.00
