Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.49,52.48,52.48,
Reserves,57.00,52.21,122.43,56.71,51.11,35.98,30.18,2.44,58.21,3.14,-34.92,-16.78,
Borrowings,34.84,16.39,19.24,82.61,355.25,358.22,358.18,361.49,304.20,47.85,51.90,32.10,
  └─ Long term Borrowings,27.54,9.67,19.24,21.59,294.23,297.20,297.16,300.48,304.20,47.85,51.88,25.85,
  └─ Short term Borrowings,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,6.25,
  └─ Preference Capital,7.13,6.72,19.24,82.61,85.25,88.22,88.18,91.49,304.20,41.60,45.63,0.00,
  └─ Other Borrowings,0.00,0.00,-19.24,-21.59,-24.23,-27.20,-27.16,-30.48,-304.20,-41.60,-45.63,,
Other Liabilities,63.89,8.04,19.31,32.58,41.14,47.66,55.00,54.07,15.77,20.79,25.03,25.00,
  └─ Non controlling int,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Trade Payables,0.02,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,3.34,1.25,1.28,
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,,
  └─ Other liability items,63.84,8.04,19.30,32.57,41.13,47.65,55.00,54.07,15.77,17.43,23.77,23.72,
Total Liabilities,172.76,93.67,178.01,188.93,464.53,458.89,460.39,435.03,395.21,89.27,94.49,92.80,
Fixed Assets,0.89,0.05,11.98,7.56,2.71,2.18,0.06,0.08,0.10,6.77,6.73,6.70,
  └─ Land,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.17,3.17,,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,,
  └─ Equipments,0.01,0.01,0.18,0.20,0.20,0.21,0.18,0.20,0.17,0.07,0.08,,
  └─ Computers,0.10,0.10,0.05,0.05,0.00,0.00,0.00,0.00,0.04,0.00,0.01,,
  └─ Furniture n fittings,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,,
  └─ Vehicles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.20,0.20,,
  └─ Intangible Assets,0.88,0.05,0.00,0.00,0.05,0.05,0.05,0.05,0.05,3.30,3.30,3.32,
  └─ Other fixed assets,0.01,0.00,11.93,7.49,2.64,2.11,0.01,0.01,0.01,0.04,0.03,,
  └─ Gross Block,1.01,0.17,12.16,7.74,2.89,2.37,0.24,0.26,0.29,6.84,6.85,,
  └─ Accumulated Depreciation,0.12,0.12,0.18,0.18,0.18,0.19,0.17,0.18,0.19,0.07,0.12,,
CWIP,0.00,0.00,36.71,41.64,41.99,42.03,42.06,42.06,42.06,0.00,0.00,0.00,
Investments,32.86,59.18,63.61,69.53,69.53,55.60,52.84,49.77,48.07,10.44,15.24,14.62,
Other Assets,139.01,34.44,65.71,70.20,350.30,359.08,365.43,343.12,304.98,72.06,72.52,71.48,
  └─ Inventories,87.23,0.00,26.91,24.90,24.53,23.79,0.00,0.00,0.00,18.39,31.94,32.07,
  └─ Trade receivables,0.43,0.58,0.55,0.56,0.71,0.15,0.15,0.15,1.38,5.14,2.52,2.80,
    └─ Receivables over 6m,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.44,0.92,2.06,,0.00
    └─ Receivables under 6m,0.43,0.58,0.55,0.56,0.71,0.15,0.15,0.02,0.93,4.22,0.46,,0.19
  └─ Cash Equivalents,27.81,11.71,11.73,12.21,16.87,12.28,0.40,0.20,0.21,2.65,0.25,0.34,
  └─ Loans n Advances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.87,10.06,2.86,
  └─ Other asset items,23.54,22.15,26.52,32.53,308.19,322.86,364.88,342.77,303.39,32.01,27.75,33.41,
Total Assets,172.76,93.67,178.01,188.93,464.53,458.89,460.39,435.03,395.21,89.27,94.49,92.80,
