Metric,Mar 2015,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,323,323,378,378,379,379,379,379,379,379,379,379
Reserves,1564,1683,2888,3337,3910,4255,4529,4818,4719,5609,6197,7080
Borrowings,1549,1085,1392,1197,1613,1469,1648,1487,985,855,570,426
  └─ Long term Borrowings,1423,752,932,1017,1173,826,937,652,119,101,422,186
  └─ Short term Borrowings,95,311,430,180,440,644,710,629,805,702,99,200
  └─ Lease Liabilities,0,0,0,0,0,0,0,205,61,52,49,40
  └─ Other Borrowings,31,22,30,0,0,0,0,0,-0,0,0,0
Other Liabilities,1515,2052,2177,2587,2582,2460,2808,3137,3837,2909,2602,2850
  └─ Non controlling int,16,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,1048,1399,1526,1574,1684,1477,1459,1938,2135,1934,1581,1863
  └─ Advance from Customers,11,2,12,17,14,33,28,22,40,0,0,0
  └─ Other liability items,441,651,639,996,884,950,1321,1176,1661,975,1021,987
Total Liabilities,4951,5143,6835,7499,8484,8563,9364,9821,9920,9753,9749,10736
Fixed Assets,3124,3293,4517,4750,4905,6044,6741,6587,5547,5810,5857,6200
  └─ Land,125,154,209,218,223,292,307,358,333,368,363,358
  └─ Building,585,258,319,373,410,543,619,643,692,750,789,860
  └─ Plant Machinery,3297,1068,1522,1926,2244,2942,3445,3424,3269,3719,3952,4519
  └─ Equipments,411,0,0,0,0,0,0,0,66,72,81,95
  └─ Computers,20,0,0,0,0,0,0,0,0,0,0,0
  └─ Furniture n fittings,205,128,166,248,263,362,542,496,432,436,451,532
  └─ Vehicles,20,0,0,0,0,0,0,0,0,0,0,0
  └─ Intangible Assets,1847,1937,2904,3028,3111,3726,3980,3837,3941,3084,3041,3301
  └─ Other fixed assets,64,42,71,72,78,110,461,124,46,45,47,61
  └─ Gross Block,6575,3586,5190,5865,6329,7975,9352,8882,8779,8474,8724,9727
  └─ Accumulated Depreciation,3452,293,673,1114,1424,1931,2611,2296,3232,2663,2867,3526
CWIP,126,56,97,60,96,54,12,125,119,54,66,130
Investments,57,67,39,55,681,96,234,438,576,821,1038,1459
Other Assets,1643,1727,2182,2634,2802,2370,2376,2671,3678,3068,2787,2947
  └─ Inventories,685,719,835,990,1229,1057,1006,1349,1211,1163,1091,1130
  └─ Trade receivables,423,383,522,598,741,737,705,669,861,633,627,609
  └─ Cash Equivalents,89,50,98,72,113,150,238,160,86,239,324,254
  └─ Loans n Advances,4,20,33,83,74,61,40,89,38,85,125,191
  └─ Other asset items,443,555,694,890,645,366,386,406,1483,949,620,763
Total Assets,4951,5143,6835,7499,8484,8563,9364,9821,9920,9753,9749,10736
