Metric,Mar 2006,Jun 2007,Jun 2008,Jun 2010,Jun 2011,Jun 2012,Jun 2014
Equity Capital,0.24,0.47,15,15,15,15,15
Reserves,0,4,16,23,27,32,47
Borrowings,0,0,1,12,8,38,33
  └─ Long term Borrowings,,,,,0.78,0.29,24.18
  └─ Short term Borrowings,,,,,6.65,16.76,8.94
  └─ Other Borrowings,0.00,0.13,1.35,11.79,0.50,21.33,
Other Liabilities,11,12,22,58,124,55,132
  └─ Trade Payables,2,7,14,51,117,47,19
  └─ Advance from Customers,0,3,6,1,0,0,
  └─ Other liability items,9,1,2,6,7,9,113
Total Liabilities,12,17,54,107,174,141,227
Fixed Assets,0,0,0,13,13,12,130
  └─ Building,0,0,0,0,4,4,
  └─ Plant Machinery,0,0,0,0,0,0,
  └─ Equipments,0,0,0,0,0,0,
  └─ Computers,0,0,0,0,0,0,
  └─ Furniture n fittings,0,0,0,0,1,1,
  └─ Vehicles,0,0,0,0,0,0,
  └─ Intangible Assets,0,0,0,0,11,12,126
  └─ Other fixed assets,0,0,1,14,0,0,
  └─ Gross Block,0,0,1,14,16,17,
  └─ Accumulated Depreciation,0,0,0,2,3,4,
CWIP,0,0,1,0,0,0,0
Investments,0,0,0,0,0,0,0
Other Assets,12,17,53,95,161,129,98
  └─ Inventories,0.00,5.02,13.48,16.28,0.85,16.15,32.43
  └─ Trade receivables,11.16,6.36,19.59,73.18,139.61,74.61,48.30
    └─ Receivables over 6m,0.00,0.53,0.54,13.20,70.73,26.85,
    └─ Receivables under 6m,11.16,5.83,19.05,59.98,68.88,47.76,
  └─ Cash Equivalents,0.09,1.67,13.05,0.26,0.42,1.73,2.08
  └─ Loans n Advances,0.27,0.00,0.00,0.00,0.00,0.00,14.84
  └─ Other asset items,0.39,3.53,6.68,4.84,19.75,36.04,0.00
Total Assets,12,17,54,107,174,141,227
