Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,1,1,1,9,14
Reserves,7,7,9,12,157
Borrowings,1,1,1,1,2
  └─ Long term Borrowings,0.37,0.20,0.37,0.78,1.57
  └─ Short term Borrowings,0.56,0.52,0.35,0.53,0.22
  └─ Other Borrowings,0.01,0.00,-0.01,0.00,0.01
Other Liabilities,11,11,13,19,34
  └─ Non controlling int,-0.50,-0.51,-0.52,0.00,0.00
  └─ Trade Payables,8.81,9.18,10.60,14.81,24.16
  └─ Advance from Customers,0.32,0.27,1.44,0.60,0.84
  └─ Other liability items,2.22,1.57,1.18,3.59,9.21
Total Liabilities,20,19,23,42,207
Fixed Assets,1,1,2,4,10
  └─ Plant Machinery,0.68,0.71,0.71,2.27,2.55
  └─ Equipments,0.06,0.01,0.01,0.05,0.06
  └─ Computers,0.17,0.08,0.12,0.16,0.25
  └─ Furniture n fittings,0.04,0.01,0.01,0.00,0.03
  └─ Vehicles,0.44,0.18,0.25,0.25,2.12
  └─ Other fixed assets,2.05,1.36,2.08,3.63,7.68
  └─ Gross Block,3.44,2.35,3.18,6.36,12.69
  └─ Accumulated Depreciation,2.76,1.33,1.68,2.05,2.71
CWIP,0,0,0,0,29
Investments,0,0,0,-0,0
Other Assets,19,18,22,38,168
  └─ Inventories,1,0,1,1,2
  └─ Trade receivables,12,12,15,29,49
    └─ Receivables over 6m,8.79,4.48,0.00,8.08,8.63
    └─ Receivables under 6m,3.37,7.69,15.08,20.43,40.24
  └─ Cash Equivalents,0,1,0,1,4
  └─ Loans n Advances,1,1,1,4,10
  └─ Other asset items,4,4,5,3,103
Total Assets,20,19,23,42,207
