Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Reserves,1.46,2.86,1.67,3.92,4.71,2.36,0.24,-2.65,-5.81,-7.71,-8.12
Borrowings,0.80,4.01,9.92,12.95,11.83,12.07,5.72,12.03,11.51,7.58,0.00
  └─ Long term Borrowings,0.80,4.01,6.56,3.79,3.22,3.97,3.22,8.17,8.27,7.58,0.00
  └─ Short term Borrowings,0.00,0.00,0.00,9.16,8.61,8.10,2.50,3.86,3.24,0.00,0.00
  └─ Preference Capital,0.00,0.00,3.35,2.65,2.65,2.65,2.65,1.40,2.65,2.65,0.00
  └─ Other Borrowings,0.00,0.00,0.01,-2.65,-2.65,-2.65,-2.65,-1.40,-2.65,-2.65,
Other Liabilities,7.47,5.32,3.95,3.82,9.88,8.75,10.10,19.59,26.70,29.44,35.29
  └─ Trade Payables,1.64,0.99,2.32,1.60,2.06,2.14,1.10,6.59,7.09,7.56,6.23
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.00,1.32,1.20,0.00,2.33,2.34,
  └─ Other liability items,5.83,4.33,1.63,2.22,7.82,5.29,7.80,13.00,17.28,19.54,29.06
Total Liabilities,10.73,13.19,16.54,21.69,27.42,24.18,17.06,29.97,33.40,30.31,28.17
Fixed Assets,4.33,4.46,4.43,4.27,4.37,3.92,0.08,0.06,8.24,8.24,8.24
  └─ Land,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.00,0.00,0.00,
  └─ Building,4.12,4.41,4.44,4.47,4.47,4.47,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,
  └─ Equipments,0.04,0.05,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.06,
  └─ Computers,0.14,0.16,0.20,0.21,0.22,0.20,0.19,0.19,0.20,0.23,
  └─ Furniture n fittings,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,
  └─ Vehicles,0.05,0.10,0.10,0.11,0.11,0.11,0.11,0.10,0.11,0.11,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,8.20
  └─ Other fixed assets,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.04,8.24,8.24,
  └─ Gross Block,4.65,5.02,5.14,5.19,5.51,5.20,0.57,0.54,8.78,8.81,
  └─ Accumulated Depreciation,0.32,0.57,0.71,0.93,1.14,1.28,0.50,0.48,0.54,0.57,
CWIP,0.00,0.00,0.00,2.27,2.18,2.18,0.00,0.00,0.00,0.00,0.00
Investments,0.78,0.14,0.14,0.05,0.00,0.30,0.30,0.30,0.30,0.30,0.30
Other Assets,5.62,8.59,11.97,15.10,20.87,17.78,16.68,29.61,24.86,21.77,19.63
  └─ Inventories,1.84,2.94,4.62,6.10,11.23,9.85,9.40,9.36,2.25,2.07,0.84
  └─ Trade receivables,2.30,2.59,3.37,4.85,3.62,4.57,3.16,8.38,10.11,9.67,8.68
    └─ Receivables over 6m,1.46,0.40,0.49,0.28,0.11,1.35,3.01,1.72,4.01,4.47,
    └─ Receivables under 6m,0.85,2.18,2.88,4.75,3.50,3.22,0.15,6.66,6.09,5.19,
    └─ Prov for Doubtful,0.00,0.00,0.00,-0.18,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Cash Equivalents,0.78,1.25,0.73,0.80,1.04,0.95,2.42,3.39,3.12,0.67,0.27
  └─ Loans n Advances,0.00,0.78,1.63,1.85,2.08,0.35,0.08,4.85,2.54,2.71,2.28
  └─ Other asset items,0.70,1.03,1.62,1.50,2.90,2.06,1.62,3.63,6.84,6.65,7.56
Total Assets,10.73,13.19,16.54,21.69,27.42,24.18,17.06,29.97,33.40,30.31,28.17
