Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2009,Mar 2014
Equity Capital,11,11,11,11,11,11,12,12,12,12,15,15,,
Reserves,22,24,31,35,43,46,59,71,77,91,196,195,,
Borrowings,30,29,24,17,12,7,4,6,7,46,80,77,,
  └─ Long term Borrowings,2,10,18,14,10,5,2,2,2,0,74,70,,
  └─ Short term Borrowings,28,18,3,3,2,2,2,4,5,46,6,7,,
  └─ Other Borrowings,0,1,4,0,-0,-0,0,0,0,0,,,,
Other Liabilities,19,16,16,18,17,20,28,16,18,20,38,33,,
  └─ Trade Payables,2.08,1.99,3.37,2.00,0.78,2.98,7.47,1.71,1.87,3.43,7.42,8.94,,
  └─ Advance from Customers,7.92,0.98,0.78,0.74,0.23,1.84,6.14,3.85,5.37,8.46,,,,
  └─ Other liability items,8.78,12.80,12.01,15.41,16.19,15.46,14.08,10.78,10.72,8.49,30.94,24.49,,
Total Liabilities,82,80,82,81,83,84,103,105,113,169,329,320,,
Fixed Assets,30,34,35,34,31,30,28,29,29,129,128,127,,
  └─ Land,5.97,6.02,7.01,7.01,6.10,6.10,6.10,6.10,1.06,1.06,,,,
  └─ Building,23.17,29.37,31.06,31.18,30.96,30.96,30.78,30.78,4.00,4.40,,,,
  └─ Plant Machinery,10.88,11.09,11.26,11.29,11.23,11.81,12.14,15.00,16.70,16.08,,,,
  └─ Equipments,0.09,0.10,0.10,0.11,0.11,0.13,0.16,0.17,0.20,0.44,,,,
  └─ Computers,0.13,0.13,0.13,0.18,0.18,0.18,0.19,0.20,0.21,0.09,,,,
  └─ Furniture n fittings,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.54,,,,
  └─ Vehicles,0.13,0.13,0.08,0.12,0.12,0.11,0.11,0.11,0.18,0.17,,,,
  └─ Other fixed assets,0.00,0.00,-0.01,-0.01,0.00,-0.01,0.00,0.01,31.33,132.49,,,,
  └─ Gross Block,40.40,46.87,49.66,49.91,48.73,49.31,49.51,52.40,54.20,155.27,,,,
  └─ Accumulated Depreciation,10.57,12.36,14.18,16.03,17.66,19.57,21.44,23.48,25.52,26.25,,,,
CWIP,6,3,1,1,1,2,4,2,6,1,1,2,,
Investments,1,1,5,4,4,2,2,4,5,16,108,87,,
Other Assets,45,42,41,42,47,50,68,69,74,23,92,104,,
  └─ Inventories,4,5,4,3,2,3,8,4,7,6,9,11,,
  └─ Trade receivables,4,1,2,4,3,4,8,6,5,8,12,11,,
    └─ Receivables over 6m,0.77,0.45,0.00,0.00,0.00,0.00,2.87,2.00,1.27,2.55,,,1.63,1.05
    └─ Receivables under 6m,2.98,0.89,1.67,3.90,2.95,3.72,4.65,4.27,3.93,5.27,,,8.26,4.45
    └─ Prov for Doubtful,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,-0.34
  └─ Cash Equivalents,1,1,1,2,1,1,7,1,3,1,2,3,,
  └─ Loans n Advances,25,23,1,1,0,2,35,47,50,2,56,69,,
  └─ Other asset items,11,12,34,33,41,41,11,10,9,6,13,12,,
Total Assets,82,80,82,81,83,84,103,105,113,169,329,320,,
