Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,5,5,5,6,6,7,8,12
Reserves,0,2,10,12,13,24,26,39,44,44
Borrowings,13,16,15,20,34,53,52,61,60,72
  └─ Long term Borrowings,2.15,2.88,1.85,1.90,6.11,11.66,23.65,23.26,21.70,26.19
  └─ Short term Borrowings,9.74,12.47,12.29,17.35,27.79,35.48,22.24,31.81,32.25,45.55
  └─ Preference Capital,0.00,0.00,0.00,0.00,0.00,5.69,5.69,5.69,5.69,0.00
  └─ Other Borrowings,0.69,0.70,0.62,0.68,0.00,-0.01,0.00,0.00,0.00,
Other Liabilities,22,26,31,26,25,29,54,68,97,96
  └─ Trade Payables,15,19,24,16,16,18,42,56,85,83
  └─ Advance from Customers,0,0,0,0,0,0,1,1,2,
  └─ Other liability items,6,6,7,9,10,10,11,11,9,12
Total Liabilities,38,48,61,62,78,112,137,176,208,223
Fixed Assets,12,13,13,15,21,22,21,59,77,89
  └─ Land,0.01,0.01,0.05,0.05,0.05,0.05,0.05,4.05,4.05,
  └─ Building,5.67,3.95,3.95,3.95,5.70,5.70,5.70,15.20,18.59,
  └─ Plant Machinery,5.47,5.68,6.60,7.89,13.48,15.24,15.00,40.15,55.07,
  └─ Equipments,0.00,2.14,2.21,2.21,2.32,2.58,2.77,3.11,3.67,
  └─ Computers,0.13,0.16,0.22,0.26,0.27,0.28,0.29,0.35,0.39,
  └─ Furniture n fittings,0.07,0.62,0.72,0.87,0.90,1.10,1.10,1.48,3.59,
  └─ Vehicles,0.52,0.56,0.56,1.07,1.13,1.18,1.58,1.66,1.66,
  └─ Intangible Assets,0.83,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,0.00
  └─ Other fixed assets,0.00,0.04,0.03,0.05,0.05,0.07,0.05,0.07,0.07,
  └─ Gross Block,12.70,14.73,15.91,17.92,25.47,27.77,28.11,67.64,88.66,
  └─ Accumulated Depreciation,1.04,1.78,2.46,3.28,4.31,5.59,6.82,9.04,12.12,
CWIP,0,0,0,2,0,9,47,8,7,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,26,35,48,46,56,80,69,109,124,134
  └─ Inventories,6,10,17,17,18,21,23,29,41,42
  └─ Trade receivables,16,18,23,23,30,32,28,27,42,50
    └─ Receivables over 6m,1.32,2.35,2.68,2.91,3.80,3.97,5.17,2.84,4.78,
    └─ Receivables under 6m,14.77,16.03,19.87,20.45,26.28,28.06,22.96,23.90,37.63,
  └─ Cash Equivalents,1,1,3,3,3,11,6,7,16,16
  └─ Loans n Advances,0,1,1,1,1,1,2,1,2,1
  └─ Other asset items,3,4,4,3,5,15,10,45,22,26
Total Assets,38,48,61,62,78,112,137,176,208,223
