Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,28,28,28,28,28,28,28,28,28,28
Reserves,410,393,376,336,341,351,356,356,359,360
Borrowings,8,51,68,72,104,87,30,7,4,19
  └─ Long term Borrowings,3.99,47.12,62.10,63.69,64.93,3.16,7.37,3.89,0.00,17.19
  └─ Short term Borrowings,0.00,0.00,5.54,8.53,39.56,84.19,22.92,3.45,3.84,1.91
  └─ Other Borrowings,4.00,4.00,0.16,0.08,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,268,250,324,312,298,303,45,45,58,66
  └─ Non controlling int,0.26,30.65,18.47,18.47,18.46,18.46,18.46,18.40,18.34,18.83
  └─ Trade Payables,166.57,144.43,148.65,102.92,52.21,6.86,5.74,4.51,9.62,8.21
  └─ Advance from Customers,58.47,38.50,137.39,170.66,213.51,265.23,1.85,7.17,19.23,
  └─ Other liability items,42.76,36.12,19.00,19.55,13.51,12.28,18.57,15.08,11.25,38.68
Total Liabilities,714,722,795,748,771,769,459,436,449,472
Fixed Assets,161,153,152,150,149,148,147,146,99,99
  └─ Land,67,58,58,58,58,58,58,58,12,
  └─ Building,0,0,0,0,0,0,0,0,0,
  └─ Plant Machinery,6,6,6,5,5,5,5,5,2,
  └─ Equipments,0,0,0,0,0,0,0,0,0,
  └─ Furniture n fittings,1,2,2,2,2,2,2,2,2,
  └─ Vehicles,1,1,1,1,1,1,1,0,0,
  └─ Intangible Assets,87,87,87,87,87,87,87,87,87,87
  └─ Other fixed assets,-0,0,0,0,-0,0,0,0,0,
  └─ Gross Block,162,155,155,155,154,154,154,154,105,
  └─ Accumulated Depreciation,1,2,3,5,6,6,7,7,6,
CWIP,6,9,10,11,6,6,7,11,0,0
Investments,11,23,34,42,43,46,0,0,0,0
Other Assets,536,537,598,545,573,568,305,279,350,374
  └─ Inventories,64,72,83,50,54,40,21,6,92,114
  └─ Trade receivables,288,277,240,187,151,133,112,104,107,79
    └─ Receivables over 6m,0,0,0,0,0,0,162,42,42,
    └─ Receivables under 6m,295,284,258,241,201,184,0,112,114,
    └─ Prov for Doubtful,-7,-7,-18,-54,-50,-51,-51,-50,-49,
  └─ Cash Equivalents,33,24,28,26,31,19,11,2,2,3
  └─ Loans n Advances,36,39,30,21,34,12,35,55,60,0
  └─ Other asset items,114,125,218,261,302,364,127,112,91,177
Total Assets,714,722,795,748,771,769,459,436,449,472
