Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,28,28,28,28,28,28,28,28,28,28,28,28,
Reserves,277,311,380,461,553,582,489,531,613,650,588,261,
Borrowings,31,14,0,0,86,269,353,298,352,871,751,738,
  └─ Short term Borrowings,31,14,0,0,86,32,154,123,181,533,415,411,
  └─ Lease Liabilities,0,0,0,0,0,237,200,175,171,338,336,327,
Other Liabilities,163,231,201,284,404,364,223,371,421,517,489,577,
  └─ Trade Payables,119,161,145,212,318,291,154,282,302,407,386,449,
  └─ Advance from Customers,4,5,5,7,8,10,8,10,9,10,13,,
  └─ Other liability items,40,65,50,64,78,63,61,79,110,100,90,128,
Total Liabilities,499,585,609,773,1071,1243,1094,1229,1415,2067,1856,1604,
Fixed Assets,71,67,61,77,117,371,288,265,309,532,507,507,
  └─ Land,5.88,5.88,5.85,5.85,5.78,5.77,0.48,0.48,0.48,0.48,0.53,,
  └─ Building,47.95,46.89,27.67,29.12,37.88,335.46,332.42,356.32,302.45,528.27,571.08,,
  └─ Plant Machinery,84.44,81.61,12.95,34.81,66.84,84.68,78.08,91.41,135.85,178.31,181.33,,
  └─ Equipments,75.25,75.76,9.29,11.57,13.75,20.44,21.68,22.88,30.94,37.53,46.83,,
  └─ Computers,10.75,11.08,2.07,3.66,6.90,12.60,12.70,13.03,15.85,23.56,26.73,,
  └─ Furniture n fittings,29.34,30.76,6.38,9.94,14.32,23.44,18.55,18.44,24.69,40.99,49.64,,
  └─ Vehicles,6.96,8.52,6.80,8.66,10.42,10.38,7.99,7.20,6.38,5.38,4.59,,
  └─ Intangible Assets,9.08,9.08,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.05,0.05,1.02,
  └─ Other fixed assets,6.92,9.12,3.29,3.77,7.93,10.68,10.83,11.79,12.73,13.93,17.10,,
  └─ Gross Block,276.57,278.70,74.35,107.43,163.87,503.50,482.73,521.55,529.37,828.50,897.88,,
  └─ Accumulated Depreciation,205.28,212.14,13.30,30.39,47.18,132.91,194.53,256.77,220.18,296.93,391.15,,
CWIP,1,1,1,3,6,3,2,7,15,14,18,15,
Investments,0,0,68,72,1,41,141,42,23,3,6,73,
Other Assets,427,517,479,621,948,829,662,915,1067,1518,1326,1009,
  └─ Inventories,227,287,283,317,527,448,302,518,587,916,698,472,
  └─ Trade receivables,111,149,121,177,299,267,148,219,255,328,368,271,
    └─ Receivables over 6m,4,6,0,0,0,0,0,0,68,73,85,,7
    └─ Receivables under 6m,108,144,122,179,300,277,166,255,247,317,350,,90
    └─ Prov for Doubtful,-1,-1,-1,-2,-1,-9,-18,-36,-59,-63,-66,,-1
  └─ Cash Equivalents,8,8,11,23,14,11,90,21,36,46,48,46,
  └─ Loans n Advances,8,7,7,9,12,14,17,37,31,35,31,29,
  └─ Other asset items,73,65,58,95,95,89,105,121,157,193,180,192,
Total Assets,499,585,609,773,1071,1243,1094,1229,1415,2067,1856,1604,
