Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,119,123,123,123,123,123,135,132,132,110,112,112,
Reserves,1711,1344,1498,2093,2551,2995,4891,7468,8055,9278,10255,12261,
Borrowings,484,368,265,51,281,48,61,52,57,448,105,162,
  └─ Long term Borrowings,107,90,59,15,4,3,2,0,0,52,0,0,
  └─ Short term Borrowings,305,226,159,0,269,17,1,0,0,316,2,36,
  └─ Lease Liabilities,0,0,0,0,0,28,58,52,57,81,103,126,
  └─ Other Borrowings,73,53,48,36,8,1,0,0,0,0,0,,
Other Liabilities,1235,1134,1313,1706,1753,1849,1791,1456,1841,2563,2623,3265,
  └─ Non controlling int,15,2,2,-0,6,5,-1,-4,-4,-4,-4,-4,
  └─ Trade Payables,738,751,910,1234,1249,1293,1195,894,1261,1650,1640,2193,
  └─ Advance from Customers,0,25,44,38,42,87,66,99,84,77,56,,
  └─ Other liability items,482,356,357,434,456,464,530,467,500,840,930,1075,
Total Liabilities,3550,2968,3199,3973,4707,5014,6878,9108,10085,12400,13095,15799,
Fixed Assets,1596,1539,1581,1588,1647,1702,1796,1841,1891,2165,2053,2184,
  └─ Land,1092,1058,1058,1058,1058,1080,1076,1076,1109,1137,1053,,
  └─ Building,383,381,383,389,394,408,413,440,453,613,603,,
  └─ Plant Machinery,798,806,773,793,880,957,1062,1154,1263,1588,1574,,
  └─ Equipments,11,9,8,10,10,11,11,9,11,14,15,,
  └─ Computers,0,0,41,46,52,53,55,59,64,94,110,,
  └─ Furniture n fittings,90,105,65,69,74,80,88,100,114,146,152,,
  └─ Vehicles,11,12,13,15,29,30,33,26,15,16,11,,
  └─ Intangible Assets,9,12,19,19,17,24,24,26,26,27,25,113,
  └─ Other fixed assets,48,34,93,99,109,122,180,197,209,182,210,,
  └─ Gross Block,2443,2418,2453,2497,2623,2765,2942,3088,3264,3816,3752,,
  └─ Accumulated Depreciation,847,879,872,910,976,1062,1146,1247,1373,1651,1699,,
CWIP,56,58,35,66,80,125,65,88,114,161,153,161,
Investments,373,64,212,549,491,797,1938,4836,4767,5019,5605,8281,
Other Assets,1526,1307,1371,1770,2489,2390,3079,2343,3313,5054,5284,5173,
  └─ Inventories,514,457,450,566,857,883,718,847,1218,1716,1399,1472,
  └─ Trade receivables,414,375,456,592,931,732,658,793,1180,1428,1332,1203,
    └─ Receivables over 6m,95,0,0,0,0,0,124,0,0,549,435,,106
    └─ Receivables under 6m,388,450,524,662,987,795,590,871,1218,951,987,,326
    └─ Prov for Doubtful,-69,-75,-68,-70,-56,-63,-57,-78,-38,-73,-90,,-60
  └─ Cash Equivalents,251,253,244,317,243,325,1322,272,472,1206,1124,839,
  └─ Loans n Advances,43,-25,-2,1,26,42,29,59,53,40,30,856,
  └─ Other asset items,304,248,222,294,431,408,352,373,391,664,1399,803,
Total Assets,3550,2968,3199,3973,4707,5014,6878,9108,10085,12400,13095,15799,
