Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,12,13,14,14,14,14,14,14,14,14,14,14,
Reserves,229,434,510,641,761,840,976,1070,1211,1348,1266,1423,
Borrowings,194,298,378,345,362,391,346,337,718,708,817,993,
  └─ Long term Borrowings,66,76,193,108,97,66,35,14,265,203,139,141,
  └─ Short term Borrowings,100,183,137,174,201,245,293,298,377,421,518,644,
  └─ Lease Liabilities,0,0,0,0,0,10,18,25,76,84,159,208,
  └─ Other Borrowings,28,40,48,64,64,69,0,0,-0,0,0,,
Other Liabilities,94,216,236,306,321,350,391,336,529,550,701,744,
  └─ Non controlling int,0,54,0,0,0,0,0,0,0,0,0,0,
  └─ Trade Payables,57,95,105,182,175,214,248,194,292,328,376,418,
  └─ Advance from Customers,0,2,2,1,1,1,3,2,4,2,6,,
  └─ Other liability items,37,65,129,123,145,135,141,140,233,220,319,325,
Total Liabilities,529,962,1138,1306,1458,1594,1727,1757,2471,2620,2798,3173,
Fixed Assets,168,330,556,544,553,613,598,588,807,852,1010,1131,
  └─ Land,39,39,26,26,26,51,51,51,51,85,89,,
  └─ Building,88,115,135,137,142,186,211,223,308,349,445,,
  └─ Plant Machinery,70,104,137,149,168,200,210,233,347,385,457,,
  └─ Equipments,9,11,13,15,20,26,29,32,43,52,74,,
  └─ Computers,5,6,2,2,3,3,4,5,7,10,26,,
  └─ Furniture n fittings,18,20,17,19,21,27,32,36,39,47,57,,
  └─ Vehicles,3,3,2,2,4,5,5,5,8,10,17,,
  └─ Intangible Assets,17,152,142,146,153,166,148,138,211,213,220,265,
  └─ Other fixed assets,0,1,110,111,121,132,129,135,148,152,198,,
  └─ Gross Block,249,451,583,607,657,797,820,859,1162,1302,1583,,
  └─ Accumulated Depreciation,81,121,27,63,104,183,221,271,355,451,573,,
CWIP,17,18,2,3,27,15,5,10,28,7,26,36,
Investments,112,149,23,130,172,276,320,262,445,513,251,248,
Other Assets,232,465,557,629,706,689,804,897,1191,1249,1510,1758,
  └─ Inventories,80,169,206,241,282,290,328,362,532,502,628,708,
  └─ Trade receivables,125,210,244,289,292,275,332,297,461,519,582,711,
    └─ Receivables over 6m,1,2,0,0,0,0,0,0,3,4,47,,1
    └─ Receivables under 6m,125,209,244,290,292,275,332,299,461,518,543,,119
    └─ Prov for Doubtful,-1,-1,0,-1,0,0,0,-1,-3,-4,-8,,-1
  └─ Cash Equivalents,6,19,22,32,47,64,94,188,107,119,150,105,
  └─ Loans n Advances,6,28,34,23,18,14,16,13,40,34,34,21,
  └─ Other asset items,15,40,51,43,67,46,34,38,51,76,116,213,
Total Assets,529,962,1138,1306,1458,1594,1727,1757,2471,2620,2798,3173,
