Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,30,30,30,30,30,19,71,72
Reserves,-67,-112,-19,-75,-56,-113,388,481
Borrowings,139,248,401,437,695,1079,1413,1501
  └─ Long term Borrowings,9,82,0,8,4,23,14,35
  └─ Short term Borrowings,0,0,3,4,7,9,10,16
  └─ Lease Liabilities,0,0,259,286,489,701,1389,1450
  └─ Preference Capital,119,141,139,139,195,345,0,0
  └─ Other Borrowings,11,25,-0,0,0,-0,-0,
Other Liabilities,94,111,96,167,261,413,635,857
  └─ Trade Payables,5,13,28,45,51,131,201,308
  └─ Advance from Customers,6,2,3,6,11,17,24,
  └─ Other liability items,83,96,65,116,199,266,410,549
Total Liabilities,197,277,509,560,931,1398,2507,2910
Fixed Assets,66,96,300,340,653,916,1580,1701
  └─ Building,59.91,130.38,72.60,98.08,838.92,1262.23,1913.34,
  └─ Equipments,19.20,33.73,18.30,31.56,72.06,84.56,127.34,
  └─ Computers,1.26,1.84,0.89,1.45,1.82,3.94,4.99,
  └─ Furniture n fittings,14.42,24.74,24.20,35.91,63.18,87.76,124.30,
  └─ Vehicles,0.57,0.32,0.08,0.08,0.08,0.60,0.75,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.01
  └─ Other fixed assets,0.81,1.17,261.43,349.18,1.93,2.92,3.38,
  └─ Gross Block,96.17,192.18,377.50,516.26,977.99,1442.01,2174.10,
  └─ Accumulated Depreciation,30.22,96.19,77.65,176.08,325.11,526.09,593.60,
CWIP,4,1,0,9,1,9,18,12
Investments,32,58,42,16,0,0,0,0
Other Assets,95,121,166,194,277,473,909,1196
  └─ Inventories,0,0,0,1,0,0,0,1
  └─ Trade receivables,4,6,15,31,48,75,121,138
    └─ Receivables over 6m,0,0,0,0,10,12,35,
    └─ Receivables under 6m,4,6,16,32,40,66,93,
    └─ Prov for Doubtful,-0,0,-1,-1,-1,-3,-7,
  └─ Cash Equivalents,14,10,42,6,18,5,82,90
  └─ Loans n Advances,8,9,12,14,23,56,58,395
  └─ Other asset items,70,96,96,144,187,338,648,573
Total Assets,197,277,509,560,931,1398,2507,2910
