Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Equity Capital,1,10,10,10,10,10,10,13,13,13
Reserves,10,2,2,3,4,6,6,121,125,145
Borrowing,14,4,31,72,75,111,93,75,78,24
Other Liabilities,4,2,2,3,9,6,3,7,9,4
  └─ Non controlling int,1.82,1.88,2.02,2.15,2.19,2.21,2.23,2.24,2.19,0.00
  └─ Trade Payables,0.06,0.10,0.07,0.27,0.30,0.38,0.46,0.63,1.26,1.51
  └─ Other liability items,2.24,0.10,0.26,0.91,6.58,3.88,0.70,4.22,5.90,2.57
Total Liabilities,30,18,45,88,98,133,112,215,225,186
Fixed Assets,0,0,0,0,0,0,1,2,2,1
  └─ Building,0.00,0.00,0.00,0.00,0.00,0.11,0.10,0.10,2.04,0.55
  └─ Equipments,0.12,0.13,0.15,0.15,0.20,0.21,0.06,0.24,0.28,0.04
  └─ Computers,0.24,0.26,0.40,0.41,0.44,0.51,0.12,0.30,0.32,0.13
  └─ Furniture n fittings,0.33,0.33,0.33,0.34,0.47,0.52,0.31,0.45,0.46,0.00
  └─ Vehicles,0.51,0.56,0.20,0.21,0.21,0.21,0.05,0.05,0.05,0.45
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
  └─ Other fixed assets,0.02,0.01,0.01,0.03,0.02,0.01,0.05,1.37,0.28,0.06
  └─ Gross Block,1.22,1.29,1.09,1.14,1.34,1.57,0.70,2.51,3.43,1.23
  └─ Accumulated Depreciation,0.81,0.90,0.78,0.93,1.04,1.15,0.15,0.45,1.52,0.61
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,1,1,0,1,1,3,1,2,4,5
Other Assets,28,16,44,87,96,130,111,211,219,180
  └─ Inventories,4,3,4,5,6,4,0,0,0,0
  └─ Trade receivables,0,0,0,1,1,2,1,2,1,0
  └─ Cash Equivalents,2,4,6,4,5,4,11,13,15,3
  └─ Loans n Advances,17,3,14,39,32,30,1,0,1,1
  └─ Other asset items,5,6,20,38,52,91,98,195,202,177
Total Assets,30,18,45,88,98,133,112,215,225,186
