Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,29,29,29,29,29,29,29,29,29,29,29
Reserves,326,332,339,345,369,418,557,858,943,964,1062
Borrowings,144,253,272,252,230,181,187,291,329,527,527
  └─ Long term Borrowings,50,159,175,143,170,133,107,111,92,162,223
  └─ Short term Borrowings,73,70,74,79,31,4,27,165,226,357,292
  └─ Lease Liabilities,0,0,0,0,0,3,8,15,11,8,12
  └─ Other Borrowings,21,23,23,29,29,40,45,0,0,0,
Other Liabilities,146,133,155,146,141,171,221,413,465,574,630
  └─ Non controlling int,0,0,0,-0,-1,-1,-1,0,0,-1,-2
  └─ Trade Payables,78,72,103,96,95,108,119,207,315,428,244
  └─ Advance from Customers,0,0,1,3,2,13,11,16,8,6,
  └─ Other liability items,67,60,50,47,45,51,92,189,142,142,387
Total Liabilities,644,746,794,771,769,799,993,1590,1766,2093,2249
Fixed Assets,460,434,632,609,574,569,579,826,957,1019,1249
  └─ Land,21.83,24.20,29.07,29.07,29.07,39.13,42.05,43.99,60.17,60.17,
  └─ Building,106.04,106.09,96.73,99.20,100.18,102.69,104.18,136.72,139.41,177.95,
  └─ Plant Machinery,422.37,440.20,523.33,532.17,531.68,546.96,584.56,900.49,1075.35,1173.98,
  └─ Equipments,0.82,1.00,0.59,0.93,1.15,1.26,1.27,2.00,2.06,2.33,
  └─ Computers,0.87,1.00,0.30,0.39,0.49,0.63,0.78,1.24,1.56,2.05,
  └─ Furniture n fittings,2.19,2.85,4.31,4.55,5.08,5.26,5.52,6.39,6.77,7.68,
  └─ Vehicles,6.26,6.76,4.18,4.92,4.66,5.84,6.16,9.43,10.82,11.61,
  └─ Intangible Assets,37.95,37.95,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.48,3.00
  └─ Other fixed assets,-0.01,0.00,0.01,0.01,0.01,3.15,10.69,1.53,1.50,5.26,
  └─ Gross Block,598.32,620.05,658.52,671.24,672.32,704.92,755.21,1101.79,1298.12,1441.51,
  └─ Accumulated Depreciation,137.84,185.82,26.78,62.68,98.65,136.00,176.67,275.60,341.21,422.83,
CWIP,31,131,0,0,12,30,48,99,90,150,37
Investments,0,0,0,0,0,0,0,0,0,0,6
Other Assets,153,181,162,162,183,201,366,665,719,925,956
  └─ Inventories,50,41,68,60,78,106,103,159,189,209,287
  └─ Trade receivables,38,37,35,48,49,34,88,210,276,323,321
  └─ Cash Equivalents,7,27,2,2,2,20,58,35,78,70,71
  └─ Loans n Advances,4,4,6,11,12,9,12,30,25,35,38
  └─ Other asset items,54,71,50,40,43,32,105,232,151,288,239
Total Assets,644,746,794,771,769,799,993,1590,1766,2093,2249
