Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,12
Reserves,25,29,34,37,43,60,72
Borrowings,3,6,8,11,24,21,18
  └─ Long term Borrowings,0.02,1.01,0.91,0.24,0.32,0.11,0.61
  └─ Short term Borrowings,3.16,5.30,6.71,10.99,23.90,21.32,15.79
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,1.34
  └─ Other Borrowings,0.00,-0.01,0.00,0.00,-0.01,0.00,
Other Liabilities,20,15,21,25,29,33,33
  └─ Trade Payables,2.25,1.38,3.06,4.40,5.64,3.55,2.76
  └─ Advance from Customers,0.00,1.03,1.73,3.50,4.36,1.10,
  └─ Other liability items,17.33,12.41,15.89,16.80,18.64,28.09,30.68
Total Liabilities,57,60,72,83,105,125,135
Fixed Assets,2,1,2,2,3,3,4
  └─ Building,0.00,0.00,0.00,0.00,1.82,1.82,
  └─ Plant Machinery,0.96,1.16,1.35,1.57,1.65,1.89,
  └─ Equipments,0.50,0.53,0.58,0.63,0.69,0.75,
  └─ Furniture n fittings,1.72,1.73,1.85,2.00,2.10,2.20,
  └─ Vehicles,0.78,0.67,1.16,1.00,0.68,0.82,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Other fixed assets,0.20,0.20,0.20,0.20,0.66,0.74,
  └─ Gross Block,4.16,4.29,5.14,5.40,7.60,8.22,
  └─ Accumulated Depreciation,2.57,3.05,3.49,3.74,4.35,5.50,
CWIP,0,0,1,2,0,0,0
Investments,0,0,0,0,0,0,1
Other Assets,56,59,70,79,102,122,129
  └─ Trade receivables,26,25,29,33,39,35,108
    └─ Receivables over 6m,5.40,0.00,0.00,11.66,11.98,7.06,
    └─ Receivables under 6m,22.46,26.89,30.86,24.23,29.98,28.86,
    └─ Prov for Doubtful,-1.59,-2.28,-2.28,-2.98,-2.53,-1.10,
  └─ Cash Equivalents,2,2,2,2,3,5,7
  └─ Loans n Advances,1,2,1,1,1,2,0
  └─ Other asset items,26,30,38,42,58,80,15
Total Assets,57,60,72,83,105,125,135
