Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,13,13,13,23,25,25,26,26,26,36
Reserves,-12,-11,-11,8,16,17,17,15,14,15
Borrowings,0,0,0,12,4,8,9,12,14,4
  └─ Long term Borrowings,,,,0.00,0.00,0.00,3.76,5.76,5.28,3.88
  └─ Short term Borrowings,,,,12.23,3.58,7.66,3.65,4.20,5.93,0.00
  └─ Other Borrowings,0.05,0.03,0.01,0.00,0.00,0.00,1.48,1.83,2.45,
Other Liabilities,2,1,1,26,21,20,18,20,17,18
  └─ Trade Payables,1.73,0.77,0.43,14.03,11.78,7.55,3.73,5.13,5.61,1.84
  └─ Advance from Customers,0.00,0.00,0.00,0.02,0.19,0.03,0.06,0.33,0.07,
  └─ Other liability items,0.77,0.27,0.27,11.60,8.84,12.03,14.36,14.31,11.69,16.53
Total Liabilities,3,2,2,69,66,69,70,73,71,74
Fixed Assets,0,0,0,25,31,33,31,32,26,25
  └─ Land,0.00,0.00,0.00,6.85,6.69,6.69,6.69,6.69,6.69,
  └─ Building,0.00,0.00,0.00,4.09,3.80,3.83,3.83,7.66,6.08,
  └─ Plant Machinery,0.00,0.00,0.00,7.68,0.50,0.55,0.64,0.67,1.03,
  └─ Equipments,0.19,0.19,0.19,15.63,0.45,0.97,1.01,1.09,1.14,
  └─ Computers,0.82,0.68,0.70,58.67,26.42,36.12,42.78,50.65,51.87,
  └─ Furniture n fittings,0.04,0.04,0.04,3.83,0.31,0.44,0.45,0.43,1.16,
  └─ Vehicles,0.23,0.16,0.13,0.42,0.06,0.06,0.06,0.06,0.06,
  └─ Intangible Assets,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.27
  └─ Other fixed assets,0.00,0.00,0.00,2.28,0.93,1.61,3.10,3.16,3.17,
  └─ Gross Block,1.28,1.07,1.06,100.13,39.16,50.27,58.56,70.41,71.20,
  └─ Accumulated Depreciation,1.08,0.96,0.97,75.30,7.88,16.99,27.14,38.30,45.50,
CWIP,0,0,0,0,0,1,3,2,2,2
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,3,2,2,44,34,35,36,39,44,47
  └─ Inventories,2.08,1.08,1.08,19.66,13.39,10.97,10.15,12.44,13.60,11.50
  └─ Trade receivables,0.12,0.21,0.20,15.18,11.84,13.25,12.94,13.41,13.03,12.55
  └─ Cash Equivalents,0.01,0.25,0.03,0.31,0.34,0.19,0.21,0.26,0.68,3.13
  └─ Loans n Advances,0.74,0.00,0.00,3.80,0.79,0.66,0.70,0.61,4.19,0.54
  └─ Other asset items,0.09,0.82,0.84,4.64,7.89,10.19,12.44,12.12,12.29,19.27
Total Assets,3,2,2,69,66,69,70,73,71,74
