Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,22,22,30,30,30
Reserves,38,51,61,76,126,366,411,469
Borrowings,83,142,159,175,262,365,453,779
  └─ Long term Borrowings,16,14,9,9,5,6,3,32
  └─ Short term Borrowings,67,128,150,164,249,356,448,736
  └─ Lease Liabilities,0,0,0,2,7,3,3,12
  └─ Other Borrowings,0,0,0,0,-0,0,0,
Other Liabilities,74,95,129,119,166,179,183,343
  └─ Non controlling int,0,1,3,5,8,12,16,30
  └─ Trade Payables,60,81,100,98,131,136,142,241
  └─ Advance from Customers,4,1,16,0,1,0,3,
  └─ Other liability items,10,11,10,16,26,31,22,72
Total Liabilities,201,293,355,392,575,941,1076,1621
Fixed Assets,49,78,79,83,85,85,94,194
  └─ Land,5.40,5.40,25.76,27.03,27.26,34.50,39.01,
  └─ Building,14.60,17.16,0.00,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,33.30,66.86,71.52,79.49,86.81,93.41,102.96,
  └─ Equipments,0.26,0.73,0.34,1.01,1.03,1.11,1.11,
  └─ Computers,0.36,0.40,0.42,0.48,0.44,0.53,0.57,
  └─ Furniture n fittings,0.67,0.76,0.85,0.88,0.92,1.15,1.25,
  └─ Vehicles,2.20,4.56,6.01,6.48,6.29,6.84,7.55,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,6.75,14.40
  └─ Other fixed assets,1.61,1.58,1.55,3.39,9.19,6.43,7.70,
  └─ Gross Block,58.40,97.45,106.45,118.76,131.94,143.97,166.90,
  └─ Accumulated Depreciation,9.33,19.06,27.44,36.11,47.17,59.09,72.97,
CWIP,-0,2,4,-0,-0,-0,9,30
Investments,8,4,12,21,21,31,37,56
Other Assets,144,209,260,289,469,825,937,1341
  └─ Inventories,90,115,150,165,230,423,564,857
  └─ Trade receivables,28,35,48,61,113,185,200,182
    └─ Receivables over 6m,0,0,0,1,1,0,26,
    └─ Receivables under 6m,28,35,48,60,113,185,174,
  └─ Cash Equivalents,1,2,4,14,29,127,42,60
  └─ Loans n Advances,10,40,38,32,53,36,87,32
  └─ Other asset items,14,17,20,17,44,54,44,211
Total Assets,201,293,355,392,575,941,1076,1621
