Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,10,10,32,36,36,37,41,41
Reserves,37,56,72,101,135,486,558,637,1269,1613
Borrowings,27,44,54,59,137,1,4,217,13,36
  └─ Long term Borrowings,,,22.10,19.90,72.64,0.59,0.63,113.64,0.00,0.00
  └─ Short term Borrowings,,,26.15,33.92,63.99,0.26,2.97,103.01,8.18,26.49
  └─ Lease Liabilities,,,0.00,0.00,0.00,0.00,0.00,0.00,4.75,9.11
  └─ Other Borrowings,26.53,43.83,5.66,5.60,0.00,-0.01,0.00,0.00,0.00,
Other Liabilities,43,54,77,61,110,136,169,205,227,295
  └─ Non controlling int,0,0,0,0,0,0,0,9,10,57
  └─ Trade Payables,38,48,68,51,85,118,142,135,156,154
  └─ Advance from Customers,0,0,1,0,0,0,0,0,1,
  └─ Other liability items,5,6,7,9,24,17,27,62,60,84
Total Liabilities,109,155,213,232,413,659,767,1096,1549,1984
Fixed Assets,28,32,79,85,186,205,259,427,570,745
  └─ Land,0,0,4,4,18,20,0,0,0,
  └─ Building,11,12,18,21,51,55,60,82,101,
  └─ Plant Machinery,9,10,44,45,100,117,141,258,401,
  └─ Equipments,1,1,1,2,2,2,3,3,3,
  └─ Computers,0,1,1,1,2,3,4,7,8,
  └─ Furniture n fittings,1,1,1,2,3,5,12,18,18,
  └─ Vehicles,0,0,1,1,1,2,3,9,9,
  └─ Intangible Assets,13,17,21,23,26,27,37,57,57,112
  └─ Other fixed assets,-0,0,-0,0,-0,-0,39,49,55,
  └─ Gross Block,35,41,91,98,203,231,298,482,652,
  └─ Accumulated Depreciation,8,10,12,13,17,27,39,55,81,
CWIP,11,30,2,12,0,3,30,125,130,332
Investments,1,3,2,2,1,2,2,0,0,0
Other Assets,68,91,131,133,225,450,477,543,848,907
  └─ Inventories,20,27,39,52,60,112,119,157,180,231
  └─ Trade receivables,36,50,76,56,121,164,230,206,290,363
  └─ Cash Equivalents,4,1,0,4,3,100,59,53,249,225
  └─ Loans n Advances,0,0,2,4,4,28,29,8,17,11
  └─ Other asset items,8,12,13,17,38,46,39,119,112,77
Total Assets,109,155,213,232,413,659,767,1096,1549,1984
