Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9
Reserves,816,915,993,1085
Borrowings,2,1,2,2
  └─ Lease Liabilities,1.89,1.35,1.96,1.91
Other Liabilities,264,242,261,248
  └─ Trade Payables,131,99,99,101
  └─ Advance from Customers,6,7,8,
  └─ Other liability items,127,136,155,147
Total Liabilities,1091,1167,1265,1344
Fixed Assets,261,250,240,232
  └─ Land,52.18,52.18,52.18,
  └─ Building,95.51,96.37,97.39,
  └─ Plant Machinery,210.17,222.26,230.46,
  └─ Equipments,2.88,2.94,3.27,
  └─ Computers,9.44,9.79,9.97,
  └─ Furniture n fittings,2.94,3.06,3.31,
  └─ Vehicles,2.85,4.28,6.82,
  └─ Intangible Assets,14.07,14.07,14.07,1.60
  └─ Other fixed assets,33.88,34.29,37.00,
  └─ Gross Block,423.92,439.24,454.47,
  └─ Accumulated Depreciation,162.53,189.33,214.31,
CWIP,14,5,10,18
Investments,430,484,523,630
Other Assets,385,428,492,464
  └─ Inventories,108,118,101,123
  └─ Trade receivables,149,155,206,172
  └─ Cash Equivalents,28,47,75,50
  └─ Loans n Advances,95,104,103,3
  └─ Other asset items,5,4,7,117
Total Assets,1091,1167,1265,1344
