Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,12,12,13,15,16,16,16,16,28
Reserves,140,147,218,218,171,167,212,225,642,655,723
Borrowings,338,362,357,417,470,470,585,668,851,813,752
  └─ Long term Borrowings,140,157,149,141,200,189,234,244,305,217,48
  └─ Short term Borrowings,144,180,187,223,197,271,342,414,517,544,586
  └─ Lease Liabilities,0,0,0,0,0,9,9,10,29,52,118
  └─ Preference Capital,8,0,0,0,0,0,0,0,0,0,0
  └─ Other Borrowings,47,24,21,52,73,0,0,0,0,0,
Other Liabilities,212,267,315,290,268,380,417,439,613,785,1018
  └─ Trade Payables,158,197,256,216,189,294,319,347,426,498,551
  └─ Advance from Customers,1,1,1,1,1,7,6,2,20,42,
  └─ Other liability items,53,70,58,74,77,80,91,90,167,245,468
Total Liabilities,701,787,902,937,922,1032,1230,1349,2122,2269,2521
Fixed Assets,361,365,386,386,382,415,477,490,667,693,739
  └─ Land,26.72,26.00,26.07,26.07,28.27,31.43,31.43,31.44,38.19,38.61,
  └─ Building,81.17,72.14,79.92,88.42,93.65,98.64,103.74,116.80,235.43,247.37,
  └─ Plant Machinery,438.12,306.04,376.58,432.46,487.85,561.33,692.41,799.68,1156.72,1283.23,
  └─ Equipments,16.21,6.30,9.79,11.33,15.17,16.20,18.00,19.98,34.70,39.93,
  └─ Furniture n fittings,6.39,2.70,2.93,3.28,3.88,4.03,4.61,4.66,7.91,8.90,
  └─ Vehicles,1.24,0.35,0.60,0.65,2.05,1.64,1.81,1.68,4.56,5.30,
  └─ Intangible Assets,16.73,6.03,6.03,6.03,4.06,4.06,4.63,4.63,9.03,9.03,3.10
  └─ Other fixed assets,0.00,2.05,2.87,3.59,3.92,3.99,8.61,9.98,13.78,16.65,
  └─ Gross Block,586.58,421.61,504.79,571.83,638.85,721.32,865.24,988.85,1500.32,1649.02,
  └─ Accumulated Depreciation,225.68,56.61,118.29,185.82,256.79,306.54,387.92,499.29,832.99,955.71,
CWIP,7,28,16,16,50,31,18,29,45,73,95
Investments,0,0,0,1,1,1,1,1,11,7,8
Other Assets,333,394,499,535,489,586,733,829,1398,1496,1679
  └─ Inventories,101,126,153,172,157,159,211,254,421,434,497
  └─ Trade receivables,162,188,246,246,191,270,355,420,599,709,796
  └─ Cash Equivalents,3,6,7,18,19,7,12,29,30,35,47
  └─ Loans n Advances,6,7,15,10,11,23,28,20,39,40,24
  └─ Other asset items,62,66,79,90,112,126,126,107,308,279,315
Total Assets,701,787,902,937,922,1032,1230,1349,2122,2269,2521
