Metric,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,13,13
Reserves,84,513,459,472,652,870,1040,1430
Borrowings,60,21,26,38,383,416,333,245
  └─ Long term Borrowings,0,9,17,34,22,58,0,0
  └─ Short term Borrowings,0,8,5,4,9,6,0,0
  └─ Lease Liabilities,0,0,0,0,352,352,333,245
  └─ Other Borrowings,60,4,4,-0,-0,0,0,
Other Liabilities,139,169,147,208,294,407,516,592
  └─ Non controlling int,34,18,7,7,10,14,17,21
  └─ Trade Payables,43,35,24,29,178,287,374,355
  └─ Advance from Customers,0,-0,-0,-0,3,1,0,
  └─ Other liability items,63,115,116,171,103,105,125,216
Total Liabilities,286,706,636,722,1332,1696,1903,2280
Fixed Assets,115,75,59,99,353,387,372,636
  └─ Building,78.66,96.29,101.11,141.64,519.52,639.90,691.52,
  └─ Plant Machinery,21.16,53.27,55.07,62.26,28.73,45.60,48.97,
  └─ Equipments,1.92,4.27,4.29,5.20,1.97,2.48,2.40,
  └─ Computers,7.44,11.24,12.16,12.64,4.59,8.11,8.90,
  └─ Furniture n fittings,57.64,17.38,17.89,22.05,8.16,13.92,16.04,
  └─ Vehicles,0.87,0.89,0.93,2.07,2.32,3.07,3.21,
  └─ Intangible Assets,7.90,5.10,2.86,2.28,1.55,1.55,0.00,2.02
  └─ Other fixed assets,2.62,1.15,8.04,8.30,2.11,2.39,3.69,
  └─ Gross Block,178.21,189.59,202.35,256.44,568.95,717.02,774.73,
  └─ Accumulated Depreciation,62.97,114.86,143.13,157.73,216.40,330.05,402.80,
CWIP,8,0,24,2,6,23,39,28
Investments,0,370,304,309,464,594,868,776
Other Assets,163,261,249,313,510,693,624,839
  └─ Inventories,8,7,7,7,11,12,9,13
  └─ Trade receivables,47,66,26,47,114,105,106,264
  └─ Cash Equivalents,43,29,67,104,134,179,38,59
  └─ Loans n Advances,8,8,5,5,21,36,75,190
  └─ Other asset items,57,152,144,150,229,362,396,313
Total Assets,286,706,636,722,1332,1696,1903,2280
