Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,7
Reserves,121,156,202
Borrowings,135,164,245
  └─ Long term Borrowings,23,28,32
  └─ Short term Borrowings,106,131,204
  └─ Lease Liabilities,6,5,8
  └─ Other Borrowings,0,-0,
Other Liabilities,71,93,209
  └─ Non controlling int,0,0,-3
  └─ Trade Payables,47,60,119
  └─ Advance from Customers,4,4,
  └─ Other liability items,21,29,93
Total Liabilities,331,417,662
Fixed Assets,90,107,203
  └─ Land,5.20,3.98,
  └─ Building,39.46,34.90,
  └─ Plant Machinery,55.38,68.02,
  └─ Computers,2.20,3.08,
  └─ Furniture n fittings,4.59,3.68,
  └─ Vehicles,3.00,4.48,
  └─ Intangible Assets,6.66,7.72,24.39
  └─ Other fixed assets,15.02,24.45,
  └─ Gross Block,131.51,150.31,
  └─ Accumulated Depreciation,41.89,43.24,
CWIP,22,12,3
Investments,0,0,0
Other Assets,219,298,455
  └─ Inventories,97,121,149
  └─ Trade receivables,89,110,246
  └─ Cash Equivalents,2,1,5
  └─ Loans n Advances,8,11,7
  └─ Other asset items,23,56,48
Total Assets,331,417,662
