Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,17,17,17,17,17,17,17,19,19,19,19,19,
Reserves,150,157,322,364,411,381,488,1358,1323,1450,1564,1673,
Borrowings,8,4,3,16,64,10,1,1,1,5,3,73,
  └─ Long term Borrowings,0,0,0,0,0,0,0,0,0,0,0,9,
  └─ Short term Borrowings,8,4,3,16,64,9,0,0,0,2,0,61,
  └─ Lease Liabilities,0,0,0,0,0,0,1,1,1,4,3,2,
  └─ Other Borrowings,-0,0,0,0,0,0,-0,0,0,-0,0,,
Other Liabilities,72,89,137,181,217,211,277,309,361,559,509,557,
  └─ Non controlling int,3,2,3,2,3,2,3,3,3,3,3,3,
  └─ Trade Payables,28,30,38,40,56,58,56,65,70,93,128,158,
  └─ Advance from Customers,2,2,2,7,2,3,3,9,3,4,7,,
  └─ Other liability items,39,55,94,131,156,148,215,232,284,459,371,397,
Total Liabilities,247,267,480,578,709,620,784,1688,1704,2034,2095,2322,
Fixed Assets,84,85,199,197,215,219,226,278,338,742,835,1031,
  └─ Land,66,66,182,182,200,200,201,210,210,210,210,,
  └─ Building,8,8,1,1,1,1,1,3,2,4,3,,
  └─ Plant Machinery,18,18,0,0,0,0,0,0,0,0,0,,
  └─ Equipments,18,21,5,6,7,8,9,11,14,17,19,,
  └─ Furniture n fittings,8,9,4,4,4,5,5,5,10,13,13,,
  └─ Vehicles,1,1,0,0,0,1,0,0,0,0,0,,
  └─ Intangible Assets,29,33,8,9,11,17,27,79,151,563,733,805,
  └─ Other fixed assets,47,48,4,4,4,4,3,4,4,22,28,,
  └─ Gross Block,195,203,204,206,227,236,246,311,391,830,1006,,
  └─ Accumulated Depreciation,111,118,5,9,12,17,20,34,53,88,172,,
CWIP,0,0,0,0,0,0,2,2,4,6,0,0,
Investments,40,40,132,151,148,75,137,676,239,118,111,379,
Other Assets,124,143,149,230,345,325,420,732,1124,1168,1149,912,
  └─ Inventories,5,1,10,49,96,94,69,105,164,239,240,243,
  └─ Trade receivables,54,46,52,73,110,108,87,108,148,159,143,177,
    └─ Receivables over 6m,19,19,0,0,0,0,0,12,25,26,18,,20
    └─ Receivables under 6m,54,45,72,88,120,120,99,107,139,152,139,,35
    └─ Prov for Doubtful,-19,-18,-20,-15,-10,-11,-12,-12,-16,-19,-14,,-17
  └─ Cash Equivalents,6,26,19,11,7,9,145,324,508,542,544,149,
  └─ Loans n Advances,26,32,-3,48,37,37,25,48,59,47,52,49,
  └─ Other asset items,32,37,71,49,96,77,93,147,244,181,171,293,
Total Assets,247,267,480,578,709,620,784,1688,1704,2034,2095,2322,
