Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,60,66,51,49,33,35,30,-1,-19,-33,-32,-16
Borrowings,41,218,216,21,22,164,25,29,31,35,11,11
  └─ Long term Borrowings,28.30,205.78,215.53,20.95,21.93,71.97,24.73,28.71,30.84,35.16,11.21,11.23
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,91.87,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Preference Capital,12.40,12.40,8.40,9.45,10.42,60.46,13.22,17.20,19.33,20.71,11.21,0.00
  └─ Other Borrowings,0.00,0.00,-8.40,-9.44,-10.42,-60.45,-13.22,-17.20,-19.33,-20.71,-11.21,
Other Liabilities,56,93,54,171,158,204,84,33,21,10,32,14
  └─ Non controlling int,3.04,2.96,0.00,-0.92,6.86,4.05,-7.52,-7.79,-10.06,-11.69,-11.57,0.00
  └─ Trade Payables,40.84,67.02,25.25,46.28,49.07,54.14,17.75,17.91,7.81,3.78,0.07,0.13
  └─ Advance from Customers,3.53,0.12,1.25,106.10,90.09,16.25,1.36,1.43,0.53,0.46,0.00,
  └─ Other liability items,8.52,23.15,27.62,19.58,12.13,129.32,72.81,21.15,22.26,17.60,43.50,13.98
Total Liabilities,182,402,346,266,238,427,164,85,57,38,36,35
Fixed Assets,51,159,148,133,119,242,69,56,45,0,0,0
  └─ Land,3.19,3.19,20.33,18.11,18.11,110.62,1.03,39.95,39.95,0.00,0.00,
  └─ Building,19.72,62.02,19.18,15.98,15.49,15.25,15.98,15.98,15.98,0.00,0.00,
  └─ Plant Machinery,75.72,125.01,126.11,126.60,126.69,126.17,108.31,85.73,10.42,0.00,0.00,
  └─ Equipments,1.45,1.50,5.31,5.20,4.88,4.91,0.59,0.51,0.18,0.00,0.00,
  └─ Computers,0.00,0.00,6.41,2.92,2.91,2.86,0.09,0.09,0.00,0.00,0.00,
  └─ Furniture n fittings,0.92,1.18,3.98,4.05,4.02,4.09,0.65,0.02,0.00,0.00,0.00,
  └─ Vehicles,0.27,0.27,0.27,0.28,0.31,0.31,0.30,0.30,0.20,0.00,0.00,
  └─ Intangible Assets,0.00,0.00,41.78,41.85,41.85,41.85,22.31,22.31,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.01,-0.01,0.01,3.37,3.52,58.12,-0.01,0.00,0.01,0.00,0.00,
  └─ Gross Block,101.28,193.16,223.38,218.36,217.78,364.18,149.25,164.89,66.74,0.00,0.00,
  └─ Accumulated Depreciation,50.31,33.69,75.79,85.66,98.49,122.01,80.30,108.78,21.94,0.00,0.00,
CWIP,2,2,3,1,1,1,0,0,0,0,0,0
Investments,11,6,9,7,5,63,39,0,3,3,0,0
Other Assets,117,235,186,126,113,122,55,29,9,34,36,35
  └─ Inventories,19.15,16.17,13.56,28.23,24.59,21.89,16.07,13.12,0.00,0.00,0.00,0.00
  └─ Trade receivables,22.85,94.24,117.17,55.07,44.59,45.08,17.37,7.92,1.88,2.04,0.00,4.53
  └─ Cash Equivalents,7.21,5.49,6.01,5.17,4.11,5.01,1.01,0.82,0.96,0.75,0.07,0.03
  └─ Loans n Advances,1.93,1.72,2.02,2.10,2.05,22.23,7.61,4.68,4.77,0.66,0.25,23.32
  └─ Other asset items,66.32,117.06,47.72,35.41,37.90,27.36,13.09,2.81,1.15,30.81,35.56,6.74
Total Assets,182,402,346,266,238,427,164,85,57,38,36,35
