Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,43,43,40,40,60,60
Reserves,134,136,136,112,184,206
Borrowings,30,13,26,1,2,76
  └─ Long term Borrowings,10,5,0,1,2,5
  └─ Short term Borrowings,20,8,26,0,0,71
Other Liabilities,70,120,113,104,140,125
  └─ Non controlling int,0,-0,0,0,0,0
  └─ Trade Payables,8,30,39,19,36,23
  └─ Advance from Customers,26,29,38,47,53,
  └─ Other liability items,36,61,37,37,51,102
Total Liabilities,277,313,315,257,385,467
Fixed Assets,10,8,7,9,11,14
  └─ Building,0.50,0.50,0.50,0.50,0.50,
  └─ Plant Machinery,24.85,24.85,24.85,26.17,28.17,
  └─ Equipments,0.59,0.60,0.60,1.19,1.19,
  └─ Computers,0.55,0.59,0.60,0.62,0.68,
  └─ Furniture n fittings,3.11,3.11,1.92,3.88,5.38,
  └─ Vehicles,1.92,1.92,3.11,3.11,3.12,
  └─ Other fixed assets,0.00,-0.01,-0.01,0.00,0.00,
  └─ Gross Block,31.52,31.56,31.57,35.47,39.04,
  └─ Accumulated Depreciation,21.67,23.09,24.47,26.12,28.34,
CWIP,0,0,0,0,1,0
Investments,14,14,14,15,23,15
Other Assets,253,290,293,232,351,438
  └─ Inventories,7,6,3,6,7,6
  └─ Trade receivables,66,78,102,57,69,73
    └─ Receivables over 6m,42,43,55,66,45,
    └─ Receivables under 6m,24,37,55,5,52,
    └─ Prov for Doubtful,0,-2,-7,-13,-28,
  └─ Cash Equivalents,6,37,23,23,41,32
  └─ Loans n Advances,138,140,135,112,178,285
  └─ Other asset items,36,30,31,34,55,43
Total Assets,277,313,315,257,385,467
