Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,4,4,4,4,4
Reserves,434,459,5044,3773,2004,4623,5346,5847,8300,8712,11387
Borrowings,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities,19,17,12,4,45,113,115,164,474,594,1043
  └─ Trade Payables,2,0,0,0,0,0,0,0,0,0,0
  └─ Other liability items,17,17,12,4,45,113,115,164,474,594,1043
Total Liabilities,458,480,5061,3781,2054,4741,5466,6015,8779,9310,12434
Fixed Assets,1,1,1,1,1,0,0,0,0,0,0
  └─ Furniture n fittings,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,
  └─ Gross Block,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,
  └─ Accumulated Depreciation,0.11,0.20,0.30,0.40,0.50,0.59,0.69,0.79,0.89,0.97,
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,457,479,5058,3780,2017,4684,5380,5888,8596,9063,12124
Other Assets,0,0,2,0,36,57,86,127,183,247,311
  └─ Cash Equivalents,0,0,2,0,25,56,86,127,183,246,310
  └─ Loans n Advances,-5,-5,0,0,0,0,0,0,0,0,0
  └─ Other asset items,5,5,0,0,10,0,0,0,0,0,0
Total Assets,458,480,5061,3781,2054,4741,5466,6015,8779,9310,12434
