Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,187,187,187,187,187,187,187,187
Reserves,647,769,884,1002,1098,1132,1228,1345
Borrowings,107,134,160,268,489,433,350,407
  └─ Long term Borrowings,1,0,0,28,67,59,39,19
  └─ Short term Borrowings,106,133,160,240,320,265,195,265
  └─ Lease Liabilities,0,0,0,0,101,108,116,123
  └─ Other Borrowings,0,0,0,0,-0,0,0,
Other Liabilities,883,1306,1228,1322,1089,1154,1150,1282
  └─ Trade Payables,128,129,86,176,146,120,93,114
  └─ Advance from Customers,214,359,276,242,162,201,203,
  └─ Other liability items,540,818,866,905,781,833,854,1169
Total Liabilities,1825,2396,2459,2779,2863,2905,2915,3221
Fixed Assets,425,441,429,938,1016,1032,1074,1066
  └─ Land,22.12,22.12,17.18,17.18,17.18,17.18,17.18,
  └─ Building,46.37,48.56,51.79,93.53,119.32,133.18,151.15,
  └─ Plant Machinery,384.03,414.32,429.35,905.84,988.78,1039.73,1118.09,
  └─ Equipments,9.06,11.01,11.30,12.68,16.80,18.70,19.92,
  └─ Furniture n fittings,30.47,36.76,37.77,60.09,36.32,42.51,48.69,
  └─ Vehicles,3.92,4.78,4.80,5.00,6.11,6.17,6.41,
  └─ Intangible Assets,0.24,0.24,0.24,0.24,1.06,1.06,1.06,2.71
  └─ Other fixed assets,3.18,3.19,3.49,3.74,42.49,42.71,42.93,
  └─ Gross Block,499.39,540.98,555.92,1098.30,1228.06,1301.24,1405.43,
  └─ Accumulated Depreciation,74.44,100.23,127.01,159.82,212.56,269.73,331.39,
CWIP,175,405,549,132,80,83,25,16
Investments,2,20,21,21,21,22,25,24
Other Assets,1223,1530,1461,1688,1746,1769,1790,2115
  └─ Inventories,509,910,801,1091,1225,1310,1281,1333
  └─ Trade receivables,352,297,386,306,316,323,410,554
  └─ Cash Equivalents,198,111,94,63,14,17,51,192
  └─ Loans n Advances,9,5,4,4,5,7,9,0
  └─ Other asset items,155,206,176,224,186,113,39,36
Total Assets,1825,2396,2459,2779,2863,2905,2915,3221
