Metric,Mar 2007,Mar 2008,Jun 2009,Mar 2010,Mar 2011,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,19,48,49,49,39,39,47,47
Reserves,-21,-7,1,5,3,29,34,81,89
Borrowings,8,7,6,0,0,0,0,17,16
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.17,17.02,15.86
  └─ Preference Capital,8.36,5.57,5.57,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,3,1,0,0,0,7,18,21,29
  └─ Trade Payables,0.92,1.01,0.34,0.25,0.26,5.47,15.49,17.04,27.08
  └─ Advance from Customers,0.00,0.14,0.00,0.00,0.00,0.73,1.93,2.52,
  └─ Other liability items,2.07,0.31,0.12,0.02,0.05,0.60,0.67,1.08,1.79
Total Liabilities,2,21,55,54,53,75,91,166,181
Fixed Assets,0,1,5,4,3,1,1,38,41
  └─ Land,0.01,0.01,0.01,0.01,0.01,0.00,0.00,25.55,
  └─ Building,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.48,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.00,1.11,1.07,2.41,
  └─ Equipments,0.03,0.14,0.14,0.15,0.15,0.09,0.12,0.16,
  └─ Computers,0.05,0.13,0.21,0.21,0.21,0.00,0.00,0.00,
  └─ Furniture n fittings,0.25,1.21,0.55,0.55,0.56,0.42,0.44,0.63,
  └─ Vehicles,0.00,0.00,0.00,0.00,0.00,0.18,0.43,0.46,
  └─ Intangible Assets,0.00,0.00,4.26,4.26,4.26,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.05,0.07,0.06,0.06,0.06,0.00,0.00,0.01,
  └─ Gross Block,0.39,1.56,5.23,5.24,5.25,1.80,2.06,38.70,
  └─ Accumulated Depreciation,0.02,0.09,0.43,1.14,2.06,0.43,0.64,1.00,
CWIP,0,0,0,0,0,0,0,7,10
Investments,0,0,22,22,22,0,0,0,0
Other Assets,2,19,28,28,27,73,90,121,130
  └─ Inventories,1.43,3.74,1.87,1.85,19.38,17.47,21.97,27.69,38.02
  └─ Trade receivables,0.03,0.03,0.05,0.03,0.01,16.62,33.94,43.28,47.26
    └─ Receivables over 6m,0.00,0.00,0.01,0.02,0.01,2.81,2.55,8.65,
    └─ Receivables under 6m,0.03,0.03,0.04,0.01,0.00,13.81,31.40,34.63,
  └─ Cash Equivalents,0.21,11.51,10.43,10.56,6.98,27.48,22.40,36.08,34.84
  └─ Loans n Advances,0.01,0.16,0.49,0.60,0.63,9.42,10.52,11.05,0.00
  └─ Other asset items,0.41,3.34,14.99,14.82,0.26,2.27,1.04,3.21,9.95
Total Assets,2,21,55,54,53,75,91,166,181
