Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2022
Equity Capital,310,310,397,397,397,397,397,397,397,440,493,494,
Reserves,9760,9961,19424,20275,21973,23681,22360,24957,31301,41012,53086,58853,
Borrowings,34,35,29,24,40,41,471,477,523,699,788,866,
  └─ Long term Borrowings,,24,16,24,40,35,44,44,34,19,14,45,34
  └─ Short term Borrowings,,0,0,0,0,0,0,3,13,18,12,8,13
  └─ Lease Liabilities,,0,0,0,0,0,427,430,475,662,762,813,436
  └─ Other Borrowings,,11,13,0,0,6,0,0,0,0,0,0,
Other Liabilities,3774,3827,12974,14813,14981,16059,16490,19374,19501,22916,26735,29361,
  └─ Non controlling int,,1,4370,4608,5231,5737,6341,7145,7058,9391,10368,12499,6932
  └─ Trade Payables,,680,2068,2816,3006,2333,2213,2913,2774,2964,2995,4185,2403
  └─ Advance from Customers,,52,285,289,314,236,279,395,278,527,420,240,
  └─ Other liability items,,3094,6251,7100,6430,7754,7656,8922,9390,10034,12952,12437,9163
Total Liabilities,13878,14133,32824,35509,37391,40178,39718,45205,51721,65067,81102,89574,
Fixed Assets,6310,6170,21410,20898,20636,20701,20486,22254,23551,32194,42766,58263,
  └─ Land,,937,1355,1488,1692,1898,2100,2216,2434,2781,4299,5533,
  └─ Building,,1961,3031,3082,3154,3281,3366,3645,3872,4736,5889,6725,
  └─ Plant Machinery,,8445,0,10057,10516,11207,11581,13864,15975,20912,25637,34751,
  └─ Ships Vessels,,250,126,127,127,127,442,444,466,509,632,646,
  └─ Equipments,,146,9764,110,123,138,146,170,192,200,245,357,
  └─ Furniture n fittings,,52,44,47,51,55,60,65,77,368,391,420,
  └─ Railway sidings,,84,242,294,302,308,324,444,486,754,530,557,
  └─ Vehicles,,130,113,143,168,208,228,240,268,244,271,308,
  └─ Intangible Assets,,47,8117,8117,8117,8117,8112,8106,8203,9136,11378,14014,8095
  └─ Other fixed assets,,68,75,102,178,260,276,296,364,2765,6103,10968,
  └─ Gross Block,,12119,22869,23567,24427,25598,26636,29488,32336,42406,55374,74279,
  └─ Accumulated Depreciation,,5949,1458,2669,3791,4897,6150,7235,8784,10212,12607,16016,
CWIP,692,416,582,667,1008,1554,2422,2168,2526,2658,9858,9121,
Investments,2097,2149,175,153,133,150,167,198,214,849,1912,113,
Other Assets,4780,5398,10657,13791,15613,17773,16643,20585,25430,29365,26566,22077,
  └─ Inventories,,898,2164,2458,2958,2096,1649,2738,3273,3609,4248,4552,3347
  └─ Trade receivables,,290,924,932,1305,1069,561,619,1154,1190,1590,1868,1051
    └─ Receivables over 6m,10,23,0,0,0,0,0,5,59,95,122,140,
    └─ Receivables under 6m,228,276,967,967,1333,1120,653,690,1171,1179,1575,1844,
    └─ Prov for Doubtful,-6,-9,-42,-35,-29,-51,-91,-76,-75,-85,-107,-116,
  └─ Cash Equivalents,,2853,4564,6232,6439,9355,8936,11693,2961,10363,6172,959,9830
  └─ Loans n Advances,,0,35,51,49,65,163,52,84,1780,2481,2399,1115
  └─ Other asset items,,1356,2970,4118,4863,5188,5334,5483,17959,12425,12075,12299,8754
Total Assets,13878,14133,32824,35509,37391,40178,39718,45205,51721,65067,81102,89574,
