Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,35,35,35,35,35,36,36,36,36,36,36,36,
Reserves,5241,6811,7663,8862,9636,13133,15361,17424,18600,20667,21502,23231,
Borrowings,917,881,1293,3403,2803,3146,2230,2129,2725,1656,1046,1868,
  └─ Long term Borrowings,401,531,519,2208,2309,1639,1332,1298,581,713,727,729,
  └─ Short term Borrowings,215,196,774,1186,473,710,509,716,1959,762,90,865,
  └─ Lease Liabilities,0,0,0,0,0,0,96,115,185,181,229,274,
  └─ Other Borrowings,300,154,0,9,21,797,294,0,0,0,0,,
Other Liabilities,1805,1737,2175,2842,3019,3629,3886,4159,4973,5566,5880,6340,
  └─ Non controlling int,0,0,0,0,62,69,51,50,41,41,41,47,
  └─ Trade Payables,292,257,352,727,538,658,883,890,1196,1214,1361,1622,
  └─ Advance from Customers,93,93,149,164,136,208,210,237,271,317,416,,
  └─ Other liability items,1419,1387,1674,1951,2282,2694,2741,2982,3465,3994,4063,4672,
Total Liabilities,7998,9463,11166,15142,15493,19944,21513,23749,26334,27925,28464,31476,
Fixed Assets,3004,3050,2599,3589,6182,6163,6216,7282,7481,9591,9315,11207,
  └─ Land,709,739,892,1110,1326,1646,1917,2323,2613,3031,3432,,
  └─ Building,387,356,454,639,953,1151,1256,1421,1660,1841,2094,,
  └─ Plant Machinery,7231,2704,3174,4659,8088,9306,10203,11783,12859,15969,17843,,
  └─ Equipments,63,19,32,39,54,69,75,85,99,114,127,,
  └─ Furniture n fittings,41,17,22,30,39,45,47,56,65,73,82,,
  └─ Railway sidings,39,20,23,23,63,63,66,68,276,277,313,,
  └─ Vehicles,39,14,20,26,38,52,53,95,133,307,364,,
  └─ Intangible Assets,111,0,0,0,0,0,0,0,31,31,31,117,
  └─ Other fixed assets,30,3,18,21,61,75,88,91,84,144,152,,
  └─ Gross Block,8650,3872,4635,6548,10621,12407,13706,15921,17820,21786,24439,,
  └─ Accumulated Depreciation,5645,822,2036,2959,4439,6244,7489,8639,10339,12195,15124,,
CWIP,511,264,710,1427,1129,1197,997,1054,2797,1930,3796,1466,
Investments,1662,3030,4042,5434,2286,6358,8500,9033,8683,7556,7849,10272,
Other Assets,2820,3118,3814,4691,5896,6227,5800,6380,7373,8848,7504,8531,
  └─ Inventories,919,815,1314,1569,1870,1713,1716,2497,2760,3555,2444,2774,
  └─ Trade receivables,476,329,335,459,1024,1080,679,788,1212,1287,1401,1827,
    └─ Receivables over 6m,6,0,0,0,0,0,0,0,343,92,92,,6
    └─ Receivables under 6m,470,329,336,460,1032,1094,713,829,912,1238,1371,,291
    └─ Prov for Doubtful,0,0,-0,-1,-8,-13,-33,-40,-44,-43,-62,,0
  └─ Cash Equivalents,308,83,111,121,439,614,708,290,161,422,294,342,
  └─ Loans n Advances,8,50,60,109,129,150,110,132,177,191,135,199,
  └─ Other asset items,1109,1842,1993,2433,2433,2668,2587,2674,3064,3394,3231,3389,
Total Assets,7998,9463,11166,15142,15493,19944,21513,23749,26334,27925,28464,31476,
