Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,6,11,10,10,10,11
Reserves,119,187,203,193,384,392,440,495,570
Borrowings,57,32,29,32,7,5,4,33,35
  └─ Long term Borrowings,18.14,5.82,1.21,0.83,0.44,0.11,0.00,0.00,0.00
  └─ Short term Borrowings,23.91,17.08,20.95,30.48,5.68,0.34,0.11,27.12,29.87
  └─ Lease Liabilities,2.32,1.94,1.50,1.04,0.52,4.55,3.53,5.48,5.37
  └─ Other Borrowings,13.06,7.00,5.27,0.00,0.00,-0.01,0.00,0.00,
Other Liabilities,107,73,100,65,90,122,173,222,291
  └─ Trade Payables,85,58,83,40,63,88,132,167,238
  └─ Advance from Customers,1,1,1,1,1,2,2,10,
  └─ Other liability items,21,14,16,23,26,32,39,45,53
Total Liabilities,290,298,338,296,491,529,626,760,907
Fixed Assets,86,64,70,96,91,109,179,223,217
  └─ Land,12.54,9.34,9.30,23.07,23.07,32.86,32.86,49.33,
  └─ Building,32.31,34.84,32.95,45.17,48.12,54.98,67.33,87.67,
  └─ Plant Machinery,46.98,32.58,30.88,74.10,79.60,90.26,150.01,179.91,
  └─ Equipments,0.25,0.13,0.08,0.72,0.75,0.76,0.80,0.81,
  └─ Computers,1.03,0.74,0.54,0.74,0.96,1.26,1.80,2.63,
  └─ Furniture n fittings,5.42,5.22,4.10,6.09,6.54,7.05,9.93,11.99,
  └─ Vehicles,1.03,1.00,0.68,0.90,1.20,3.25,3.90,4.99,
  └─ Intangible Assets,0.00,0.00,0.00,0.84,0.84,0.00,0.84,0.84,6.91
  └─ Other fixed assets,4.25,1.00,0.82,5.37,2.79,3.04,7.27,8.55,
  └─ Gross Block,103.81,84.85,79.35,157.00,163.87,193.46,274.74,346.72,
  └─ Accumulated Depreciation,17.32,20.59,9.09,61.06,72.69,84.05,95.69,123.33,
CWIP,53,5,0,0,8,15,6,5,56
Investments,23,122,116,23,65,107,173,223,268
Other Assets,128,107,152,177,327,298,268,308,366
  └─ Inventories,35,19,49,41,59,75,62,81,62
  └─ Trade receivables,67,62,64,79,111,117,136,167,227
  └─ Cash Equivalents,8,13,18,31,114,25,31,16,2
  └─ Loans n Advances,2,1,2,7,8,2,3,6,6
  └─ Other asset items,17,12,18,18,36,79,36,38,69
Total Assets,290,298,338,296,491,529,626,760,907
