Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,19,24,24,24,24,24,24,24,24,26
Reserves,17,51,70,93,106,113,125,145,165,183
Borrowings,0,15,50,70,111,149,116,150,212,190
  └─ Long term Borrowings,0,1,2,4,6,49,43,40,27,48
  └─ Short term Borrowings,0,14,47,61,101,88,68,99,169,141
  └─ Other Borrowings,0,0,1,4,3,12,5,11,17,
Other Liabilities,77,60,116,145,138,81,175,147,180,182
  └─ Trade Payables,29,42,76,97,73,50,76,77,121,108
  └─ Advance from Customers,40,11,32,0,0,0,0,0,0,
  └─ Other liability items,8,7,7,48,65,31,99,70,59,74
Total Liabilities,113,150,260,332,378,367,440,466,581,580
Fixed Assets,11,14,20,33,55,52,54,53,103,98
  └─ Land,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,
  └─ Building,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.86,
  └─ Plant Machinery,16.61,17.94,24.77,27.69,53.38,54.01,79.20,85.17,135.30,
  └─ Equipments,0.33,0.95,0.64,1.01,1.17,1.23,1.43,1.69,2.65,
  └─ Computers,0.24,0.67,0.49,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,1.06,1.21,1.25,0.20,0.34,0.35,0.37,0.40,0.53,
  └─ Vehicles,5.11,6.81,8.92,7.68,7.37,7.98,8.45,9.67,11.55,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
  └─ Other fixed assets,7.98,10.24,10.22,0.04,0.03,0.03,0.01,0.00,0.13,
  └─ Gross Block,31.83,38.32,46.79,37.12,62.79,64.10,89.96,97.43,155.52,
  └─ Accumulated Depreciation,21.02,24.07,27.22,4.14,8.05,11.96,35.85,43.96,52.88,
CWIP,0,0,10,23,0,0,9,28,7,7
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,102,136,230,276,323,315,377,385,471,474
  └─ Inventories,32,16,66,91,95,74,121,120,207,230
  └─ Trade receivables,40,82,81,85,143,148,164,175,169,156
    └─ Receivables over 6m,8,11,70,69,22,35,5,22,28,
    └─ Receivables under 6m,31,71,11,16,121,113,159,153,141,
  └─ Cash Equivalents,22,18,33,46,38,66,28,40,47,44
  └─ Loans n Advances,2,2,15,19,14,7,9,10,15,5
  └─ Other asset items,7,18,36,35,34,20,55,38,34,40
Total Assets,113,150,260,332,378,367,440,466,581,580
