Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,3,4,12,13,14,14,14
Reserves,3,4,5,9,14,11,18,48,57,77
Borrowings,2,3,2,4,4,4,5,0,4,10
  └─ Long term Borrowings,0.02,0.01,1.54,0.86,1.32,0.43,0.10,0.00,0.00,0.00
  └─ Short term Borrowings,2.23,2.82,0.26,2.53,1.60,3.76,4.62,0.04,4.35,8.86
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64
  └─ Other Borrowings,0.03,0.00,0.60,0.98,1.16,0.00,0.00,0.00,0.00,
Other Liabilities,6,4,5,9,4,4,5,9,6,19
  └─ Non controlling int,0.00,0.00,0.00,0.01,0.01,0.23,0.28,0.36,0.65,8.00
  └─ Trade Payables,0.67,2.94,3.84,8.71,1.55,2.63,3.24,6.28,1.67,5.44
  └─ Advance from Customers,0.02,0.00,0.00,0.00,0.33,0.20,0.08,0.10,0.14,
  └─ Other liability items,4.88,0.63,0.69,0.64,2.34,0.94,1.53,1.96,4.01,5.92
Total Liabilities,14,14,16,26,26,31,40,71,81,120
Fixed Assets,1,1,1,0,0,0,1,1,1,3
  └─ Building,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.46,0.84,
  └─ Plant Machinery,1.40,1.40,0.00,1.40,1.40,1.40,1.41,1.41,1.41,
  └─ Equipments,0.06,0.05,0.00,0.07,0.07,0.09,0.12,0.14,0.17,
  └─ Computers,0.05,0.06,0.00,0.06,0.09,0.08,0.13,0.15,0.22,
  └─ Furniture n fittings,0.16,0.17,0.06,0.17,0.17,0.19,0.22,0.24,0.29,
  └─ Vehicles,0.17,0.12,0.00,0.12,0.12,0.12,0.07,0.07,0.01,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
  └─ Other fixed assets,0.29,0.29,0.49,0.22,0.21,0.22,0.51,0.56,0.56,
  └─ Gross Block,2.13,2.09,0.55,2.04,2.06,2.10,2.91,3.03,3.50,
  └─ Accumulated Depreciation,1.29,1.41,0.00,1.59,1.68,1.77,1.84,2.00,2.13,
CWIP,-0,-0,0,0,-0,0,0,0,0,0
Investments,0,0,0,0,-0,0,0,7,0,1
Other Assets,13,13,15,25,26,30,39,63,80,116
  └─ Inventories,2,3,2,5,2,3,4,6,9,9
  └─ Trade receivables,2,6,10,16,20,20,26,46,55,89
    └─ Receivables over 6m,0.08,0.78,2.04,3.29,4.17,0.00,0.00,12.34,10.84,
    └─ Receivables under 6m,2.30,5.72,7.87,12.64,16.18,19.53,26.24,33.96,44.06,
  └─ Cash Equivalents,7,1,1,0,1,1,3,5,5,9
  └─ Loans n Advances,0,0,0,0,0,0,0,0,0,2
  └─ Other asset items,2,3,2,4,3,6,6,5,11,7
Total Assets,14,14,16,26,26,31,40,71,81,120
