Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,17,23,23,24,25
Reserves,23,28,70,71,90,110
Borrowings,54,100,86,92,103,90
  └─ Long term Borrowings,1,2,5,5,13,6
  └─ Short term Borrowings,53,98,81,87,90,84
Other Liabilities,14,31,22,12,21,33
  └─ Non controlling int,0.00,0.03,-1.96,-1.96,-1.19,0.00
  └─ Trade Payables,11.81,19.14,21.92,12.77,19.56,12.42
  └─ Advance from Customers,0.97,9.95,1.39,0.46,1.51,
  └─ Other liability items,0.88,2.21,0.86,0.85,1.16,20.90
Total Liabilities,92,177,202,198,238,259
Fixed Assets,2,3,2,3,13,13
  └─ Building,2.22,2.30,2.32,2.32,9.29,
  └─ Plant Machinery,0.00,0.13,0.13,0.13,0.80,
  └─ Equipments,0.10,0.26,0.30,0.35,0.36,
  └─ Computers,0.15,0.03,0.04,0.04,0.05,
  └─ Furniture n fittings,0.65,0.92,0.93,0.94,3.31,
  └─ Vehicles,0.65,1.98,2.05,2.05,2.47,
  └─ Other fixed assets,0.01,-0.01,0.00,1.08,1.28,
  └─ Gross Block,3.78,5.61,5.77,6.91,17.56,
  └─ Accumulated Depreciation,2.15,2.66,3.26,3.73,4.91,
CWIP,0,0,7,8,0,9
Investments,2,2,2,1,2,29
Other Assets,89,172,191,186,223,207
  └─ Inventories,10,13,18,18,11,7
  └─ Trade receivables,58,127,92,89,116,84
    └─ Receivables over 6m,0,1,9,9,15,
    └─ Receivables under 6m,58,126,83,80,100,
  └─ Cash Equivalents,8,8,42,45,54,56
  └─ Loans n Advances,5,11,18,10,10,16
  └─ Other asset items,7,13,21,24,32,43
Total Assets,92,177,202,198,238,259
