Metric,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,6.06,6.06,6.06,6.06
Reserves,6.81,6.81,6.85,7.10
Borrowing,3.50,2.18,2.27,0.00
Other Liabilities,0.89,0.75,6.03,11.73
  └─ Trade Payables,0.76,0.54,5.74,8.91
  └─ Other liability items,0.13,0.21,0.29,2.82
Total Liabilities,17.26,15.80,21.21,24.89
Fixed Assets,9.91,9.31,8.91,8.94
  └─ Land,4.46,4.46,4.46,
  └─ Building,0.37,0.37,0.37,
  └─ Plant Machinery,4.61,4.36,4.35,
  └─ Equipments,0.26,0.30,0.30,
  └─ Computers,0.07,0.07,0.07,
  └─ Furniture n fittings,0.31,0.31,0.31,
  └─ Vehicles,0.35,0.35,0.35,
  └─ Other fixed assets,0.01,0.01,0.01,
  └─ Gross Block,10.44,10.23,10.22,
  └─ Accumulated Depreciation,0.53,0.92,1.31,
CWIP,0.00,0.00,0.00,0.00
Investments,0.00,2.61,1.36,1.36
Other Assets,7.35,3.88,10.94,14.59
  └─ Inventories,3.41,1.49,1.39,0.51
  └─ Trade receivables,0.71,0.00,3.13,9.23
  └─ Cash Equivalents,1.95,1.36,0.41,0.35
  └─ Loans n Advances,1.23,0.77,5.73,4.37
  └─ Other asset items,0.05,0.26,0.28,0.13
Total Assets,17.26,15.80,21.21,24.89
