Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,11,11,18,25,25,25,25
Reserves,10,10,10,10,23,76,80,86,97
Borrowings,6,5,15,23,21,16,16,15,58
  └─ Long term Borrowings,0.00,4.81,6.07,12.76,8.26,3.26,1.24,7.48,42.94
  └─ Short term Borrowings,5.54,0.00,8.52,10.08,12.14,11.69,14.55,7.45,14.79
  └─ Other Borrowings,0.00,0.00,0.01,0.47,0.50,0.80,-0.01,0.01,
Other Liabilities,3,3,9,7,13,16,18,16,29
  └─ Non controlling int,0.00,0.00,0.00,0.00,2.60,5.01,6.73,7.21,11.79
  └─ Trade Payables,0.00,0.00,4.86,4.00,5.28,5.91,4.63,5.03,6.81
  └─ Advance from Customers,0.00,0.01,0.35,1.48,1.09,1.44,0.48,0.12,
  └─ Other liability items,2.91,2.92,3.62,1.74,3.67,3.36,5.73,4.12,10.07
Total Liabilities,30,29,44,51,74,133,138,143,208
Fixed Assets,5,5,12,11,8,9,17,17,16
  └─ Land,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,
  └─ Building,0.27,0.27,2.45,2.47,2.47,2.47,2.52,2.52,
  └─ Plant Machinery,3.11,2.81,5.76,5.91,6.01,6.65,15.40,15.40,
  └─ Equipments,0.00,0.03,0.04,0.08,0.08,0.08,0.09,0.11,
  └─ Computers,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
  └─ Furniture n fittings,0.07,0.34,0.61,0.61,0.57,0.70,0.70,0.86,
  └─ Vehicles,0.08,0.04,0.04,0.04,0.08,0.00,0.00,0.00,
  └─ Intangible Assets,0.86,1.08,2.35,2.35,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.00,-0.01,0.00,-0.01,-0.01,0.00,-0.01,-0.02,
  └─ Gross Block,5.00,5.18,11.87,12.07,9.82,10.52,19.32,19.49,
  └─ Accumulated Depreciation,0.02,0.06,0.33,0.83,1.32,1.79,2.31,2.92,
CWIP,0,5,0,0,0,0,0,2,6
Investments,13,5,5,5,5,5,10,11,10
Other Assets,12,13,27,34,61,120,111,114,176
  └─ Inventories,0,0,8,12,24,32,34,40,51
  └─ Trade receivables,8,6,12,17,24,29,26,26,28
    └─ Receivables over 6m,0.00,5.75,3.67,3.95,11.24,16.71,25.83,25.40,
    └─ Receivables under 6m,7.70,0.00,8.16,13.17,12.35,11.92,0.46,0.74,
  └─ Cash Equivalents,0,1,0,0,0,1,2,1,2
  └─ Loans n Advances,0,0,0,0,0,40,31,30,43
  └─ Other asset items,4,6,6,5,13,18,18,17,53
Total Assets,30,29,44,51,74,133,138,143,208
