Metric,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Mar 2020,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,13,12,12,12,12,12,12,12,12,12,12,12
Reserves,230,266,259,311,326,326,415,448,534,600,612,780
Borrowings,1,2,2,2,6,5,23,1,77,131,73,410
  └─ Long term Borrowings,1,2,2,2,5,5,8,1,1,2,1,269
  └─ Short term Borrowings,0,0,0,0,0,0,0,0,1,56,6,45
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,75,73,65,95
  └─ Other Borrowings,0,1,0,0,1,,15,0,0,0,0,-0
Other Liabilities,111,103,119,119,148,149,200,231,210,572,519,901
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,241,241,433
  └─ Trade Payables,49,44,34,27,25,25,22,36,36,37,41,114
  └─ Advance from Customers,0,0,0,0,0,,0,0,0,0,7,0
  └─ Other liability items,63,59,85,92,123,124,178,195,175,294,230,354
Total Liabilities,356,383,392,443,493,493,650,692,833,1315,1216,2102
Fixed Assets,80,80,46,45,72,72,111,127,156,627,571,1125
  └─ Land,1,1,1,1,1,,2,2,2,2,0,0
  └─ Building,10,11,10,11,11,,58,74,95,102,90,137
  └─ Plant Machinery,4,4,6,6,6,,6,6,6,6,1,2
  └─ Equipments,5,6,5,5,5,,6,6,7,7,5,7
  └─ Computers,62,65,69,75,88,,96,114,142,154,141,175
  └─ Furniture n fittings,11,13,13,14,16,,20,20,26,26,16,20
  └─ Vehicles,6,7,6,6,8,,9,9,12,13,13,15
  └─ Intangible Assets,50,45,8,9,20,26,20,10,11,284,284,696
  └─ Other fixed assets,3,5,13,14,21,,22,13,14,236,236,352
  └─ Gross Block,154,157,132,142,177,,238,255,315,830,785,1402
  └─ Accumulated Depreciation,74,76,85,97,105,,127,128,159,203,215,278
CWIP,0,3,0,2,2,2,0,0,3,0,4,0
Investments,41,26,22,20,34,34,13,13,14,0,0,0
Other Assets,235,274,323,377,384,385,526,552,661,688,641,977
  └─ Trade receivables,105,108,121,137,132,132,131,178,257,250,257,411
  └─ Cash Equivalents,85,114,151,136,147,147,251,228,231,252,194,314
  └─ Loans n Advances,-0,-0,9,12,13,14,15,17,24,25,24,32
  └─ Other asset items,45,52,42,93,92,91,129,130,150,160,166,220
Total Assets,356,383,392,443,493,493,650,692,833,1315,1216,2102
