Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,27,27,27,27,28,28,28,28,28,31,31,31,
Reserves,33,33,48,48,56,67,87,110,132,187,217,181,
Borrowings,6,11,10,11,18,5,7,2,2,8,8,8,
  └─ Long term Borrowings,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Short term Borrowings,5.46,10.65,9.96,10.93,17.84,2.77,5.50,1.08,0.86,3.35,4.02,3.78,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,1.87,1.51,1.24,0.92,4.19,3.91,4.48,
  └─ Other Borrowings,0.14,0.04,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,,
Other Liabilities,19,23,28,28,31,30,22,22,37,42,50,58,
  └─ Trade Payables,6.84,7.33,7.73,9.59,10.84,10.58,9.39,10.45,19.85,20.68,23.73,24.04,
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.64,,
  └─ Other liability items,12.26,15.94,20.10,18.35,20.37,19.74,12.11,11.25,17.11,20.30,25.51,34.24,
Total Liabilities,85,94,112,114,132,129,143,162,199,267,305,279,
Fixed Assets,36,39,41,44,44,43,49,43,37,34,32,33,
  └─ Land,0.33,0.33,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22,,
  └─ Building,25.22,25.45,22.38,14.49,18.13,20.04,22.55,22.62,22.72,26.74,27.22,,
  └─ Plant Machinery,6.74,6.89,2.95,2.96,3.06,3.06,3.03,3.11,3.11,3.07,3.16,,
  └─ Equipments,0.88,0.89,0.65,0.72,0.74,0.81,0.50,0.63,0.65,0.42,0.41,,
  └─ Computers,10.56,16.68,7.74,15.20,15.70,21.20,32.20,33.02,34.08,34.45,35.18,,
  └─ Furniture n fittings,14.42,12.22,10.95,11.66,12.14,11.99,11.80,12.09,12.13,9.79,10.32,,
  └─ Vehicles,0.54,0.62,0.49,0.50,0.50,0.50,0.44,0.44,0.53,0.53,0.54,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,
  └─ Other fixed assets,0.00,0.01,-0.01,8.22,9.43,9.44,9.44,8.32,8.12,9.44,9.43,,
  └─ Gross Block,58.69,63.09,45.39,53.99,59.94,67.26,80.18,80.45,81.56,84.66,86.48,,
  └─ Accumulated Depreciation,23.07,24.00,4.31,10.05,15.76,24.68,30.87,37.19,44.55,50.20,54.44,,
CWIP,15,12,14,13,15,12,0,0,0,0,0,0,
Investments,9,9,14,14,22,26,43,72,88,114,142,115,
Other Assets,25,34,43,44,51,48,51,47,74,118,131,131,
  └─ Trade receivables,13,17,20,26,25,28,25,27,40,21,21,35,
    └─ Receivables over 6m,2.77,2.12,0.00,0.00,0.00,0.00,7.96,7.86,5.56,4.50,2.44,,2.74
    └─ Receivables under 6m,10.64,14.92,20.40,28.04,27.34,31.20,21.00,24.33,39.72,21.18,20.71,,12.83
    └─ Prov for Doubtful,-0.01,-0.43,-0.28,-2.26,-2.64,-2.95,-3.98,-5.26,-5.25,-4.28,-2.44,,-0.28
  └─ Cash Equivalents,8,7,10,10,18,13,19,12,15,73,83,59,
  └─ Loans n Advances,1,2,2,1,2,2,3,2,2,4,4,5,
  └─ Other asset items,3,9,11,6,7,4,5,6,16,20,24,33,
Total Assets,85,94,112,114,132,129,143,162,199,267,305,279,
