Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2012,Mar 2013
Equity Capital,14,21,21,21,29,29,29,29,29,29,29,29,,
Reserves,21,31,51,71,91,110,98,70,73,34,2,-13,,
Borrowings,21,38,32,24,24,27,21,21,13,6,6,13,,
  └─ Short term Borrowings,21.13,38.08,32.41,23.96,23.58,26.54,20.61,20.60,13.39,6.00,6.14,12.98,,
  └─ Other Borrowings,-0.01,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,
Other Liabilities,196,192,246,231,129,200,161,167,163,49,38,36,,
  └─ Trade Payables,193.02,188.82,244.48,229.39,127.49,197.89,158.74,165.55,162.01,48.05,36.83,35.20,,
  └─ Other liability items,3.11,3.06,1.27,1.65,1.57,1.89,1.85,1.55,1.38,1.38,0.83,0.83,,
Total Liabilities,252,282,351,347,273,366,309,287,279,119,76,66,,
Fixed Assets,3,5,6,5,5,5,4,4,3,3,3,3,,
  └─ Land,0.17,0.17,0.68,0.68,0.68,0.68,,,0.00,0.00,0.57,0.57,,
  └─ Building,0.61,0.61,1.78,1.78,1.78,1.78,,,2.04,2.04,1.47,1.47,,
  └─ Plant Machinery,1.67,2.90,3.02,2.87,2.87,2.87,,,2.87,2.87,2.87,2.87,,
  └─ Equipments,0.13,0.17,0.17,0.17,0.17,0.17,,,0.17,0.17,0.17,0.17,,
  └─ Computers,0.11,0.13,0.13,0.13,0.13,0.13,,,0.13,0.13,0.13,0.13,,
  └─ Furniture n fittings,0.52,0.59,0.59,0.59,0.59,0.59,,,0.59,0.59,0.59,0.59,,
  └─ Vehicles,0.68,1.15,0.70,0.79,0.79,0.79,,,0.79,0.79,0.79,0.79,,
  └─ Other fixed assets,0.00,-0.01,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,
  └─ Gross Block,3.89,5.71,7.07,7.01,7.01,7.01,,,6.59,6.59,6.59,6.59,,
  └─ Accumulated Depreciation,0.50,0.85,1.20,1.61,1.97,2.32,,,3.17,3.44,3.68,3.89,,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,,
Investments,1,0,0,0,0,4,0,0,0,0,0,0,,
Other Assets,248,277,344,341,267,358,305,284,275,116,73,63,,
  └─ Inventories,35,27,35,2,2,1,1,3,1,0,1,2,,
  └─ Trade receivables,188,237,302,338,264,355,303,280,273,115,71,60,,
    └─ Receivables over 6m,0,1,101,212,173,340,,,272,114,71,60,0,0
    └─ Receivables under 6m,188,235,201,127,91,15,,,1,1,0,0,102,136
  └─ Cash Equivalents,18,10,7,1,1,1,0,0,1,0,0,0,,
  └─ Loans n Advances,0,1,0,0,0,0,0,0,0,0,0,0,,
  └─ Other asset items,7,2,1,0,0,0,0,0,0,0,0,0,,
Total Assets,252,282,351,347,273,366,309,287,279,119,76,66,,
