Metric,Aug 2007,Aug 2008,Aug 2009,Aug 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,10,10,10,10,10,10,10,10,19,22,29
Reserves,26,29,11,11,9,9,9,9,9,218,435,595
Borrowings,1,1,1,0,1,2,3,0,-0,110,195,455
  └─ Long term Borrowings,,,,,1,2,3,0,0,99,154,402
  └─ Short term Borrowings,,,,,0,0,0,0,0,12,42,54
  └─ Other Borrowings,1,1,1,0,-0,0,0,0,0,0,0,
Other Liabilities,11,21,13,6,8,7,3,1,0,309,553,608
  └─ Non controlling int,0,0,0,1,4,4,3,0,0,0,0,0
  └─ Trade Payables,0,0,1,1,0,0,0,0,0,163,342,207
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,31,
  └─ Other liability items,11,21,11,4,4,2,0,1,0,146,180,401
Total Liabilities,46,62,35,27,29,28,25,20,19,656,1206,1687
Fixed Assets,7,9,15,14,13,13,13,13,13,16,199,126
  └─ Land,5.40,5.40,23.10,23.10,23.10,23.10,23.10,23.30,23.30,7.53,73.87,
  └─ Building,0.88,2.84,2.27,0.00,0.00,0.00,0.00,0.00,0.29,3.41,48.61,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,9.40,
  └─ Equipments,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.16,0.33,
  └─ Computers,0.00,0.00,0.00,0.00,0.68,0.68,0.68,0.68,0.47,0.57,0.79,
  └─ Furniture n fittings,0.19,0.44,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.64,
  └─ Vehicles,0.52,0.70,0.21,0.47,0.47,0.47,0.47,0.47,0.46,0.00,0.31,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.77,3.77
  └─ Other fixed assets,0.32,0.59,0.65,1.00,0.03,-0.01,0.27,0.27,0.17,4.44,92.09,
  └─ Gross Block,7.31,9.97,26.39,24.57,24.56,24.52,24.52,24.72,24.69,16.66,229.81,
  └─ Accumulated Depreciation,0.25,0.63,11.37,11.07,11.15,11.32,11.50,11.67,11.71,0.82,30.70,
CWIP,2,-0,-0,4,-0,-0,-0,-0,-0,-0,-0,65
Investments,6,5,1,0,0,1,1,0,-0,30,9,9
Other Assets,31,47,18,10,16,14,12,7,6,610,998,1486
  └─ Inventories,19,26,10,1,2,0,0,0,0,0,20,0
  └─ Trade receivables,6,10,1,1,0,0,0,0,0,20,194,108
  └─ Cash Equivalents,1,2,2,1,1,1,1,0,0,71,9,63
  └─ Loans n Advances,0,0,0,0,0,0,0,0,0,1,14,3
  └─ Other asset items,4,9,5,6,13,13,11,6,6,519,760,1312
Total Assets,46,62,35,27,29,28,25,20,19,656,1206,1687
