Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,46,62,62,62,62,62,62,62,66,71,188,188
Reserves,19,3,4,11,13,16,18,19,24,59,272,379
Borrowings,5,11,6,6,4,7,7,6,705,686,386,1222
  └─ Long term Borrowings,0,9,4,6,4,1,0,0,696,677,375,1222
  └─ Short term Borrowings,0,0,0,0,0,6,7,6,9,10,11,0
  └─ Other Borrowings,4,1,2,0,0,0,0,0,0,0,,
Other Liabilities,4,35,147,128,146,139,56,41,52,67,75,65
  └─ Non controlling int,0,0,0,0,0,0,0,0,-0,-0,7,-0
  └─ Trade Payables,0,35,35,13,45,46,32,24,34,27,64,64
  └─ Advance from Customers,0,0,0,0,0,0,0,1,3,1,,
  └─ Other liability items,3,0,112,115,100,92,23,16,16,39,5,2
Total Liabilities,74,112,219,208,224,224,142,127,848,883,920,1853
Fixed Assets,2,2,2,9,9,9,9,9,11,11,50,14
  └─ Land,0.13,0.13,0.13,7.18,7.18,7.18,7.18,7.18,7.18,7.18,,
  └─ Building,0.83,0.83,0.40,0.61,0.61,1.20,1.32,1.32,2.16,2.16,,
  └─ Plant Machinery,3.28,0.03,1.81,1.27,1.29,2.96,2.99,3.14,4.21,4.21,,
  └─ Equipments,0.18,0.08,0.01,0.02,0.02,0.38,0.38,0.52,1.01,1.16,,
  └─ Computers,0.02,0.07,0.01,0.03,0.03,0.05,0.05,0.07,0.09,0.09,,
  └─ Furniture n fittings,0.05,3.35,0.00,0.02,0.04,0.10,0.10,0.11,0.11,0.11,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.49,0.07
  └─ Other fixed assets,0.00,0.00,0.01,0.02,0.02,0.02,-0.01,0.02,0.01,0.02,,
  └─ Gross Block,4.49,4.49,2.37,9.15,9.19,11.89,12.01,12.36,14.77,14.93,,
  └─ Accumulated Depreciation,2.09,2.22,0.08,0.25,0.57,2.95,3.17,3.40,3.79,4.21,,
CWIP,0,0,0,0,0,0,0,2,0,0,0,1
Investments,4,1,1,0,0,0,1,1,704,724,717,879
Other Assets,68,109,216,199,216,215,132,115,132,148,154,959
  └─ Inventories,0,0,1,1,1,1,3,1,2,1,3,3
  └─ Trade receivables,2,22,139,35,57,68,46,15,31,44,93,99
    └─ Receivables over 6m,1.42,22.06,0.00,0.00,0.00,0.00,0.00,9.52,9.05,9.00,,
    └─ Receivables under 6m,0.25,0.00,139.31,35.24,57.02,68.29,45.68,5.63,22.29,34.54,,
  └─ Cash Equivalents,1,2,1,1,1,0,1,2,0,1,5,1
  └─ Loans n Advances,0,3,20,29,26,56,57,48,46,40,41,849
  └─ Other asset items,65,82,55,133,131,90,26,49,53,63,12,8
Total Assets,74,112,219,208,224,224,142,127,848,883,920,1853
