Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,10,10,10,10,10
Reserves,23,28,35,37,55,79,100,121
Borrowings,0,0,0,0,0,0,0,0
Other Liabilities,4,4,4,6,9,9,6,9
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.02,-0.13,-0.22,-0.24
  └─ Trade Payables,2.28,2.60,2.65,4.25,4.93,3.24,2.52,4.57
  └─ Advance from Customers,0.00,0.00,0.04,0.00,0.00,0.00,0.00,
  └─ Other liability items,1.51,1.85,1.52,1.34,3.56,5.46,4.08,4.63
Total Liabilities,29,35,41,52,74,98,116,140
Fixed Assets,3,4,3,16,13,12,14,18
  └─ Land,0.00,0.00,0.00,0.00,0.00,1.25,1.79,
  └─ Building,0.18,0.18,0.18,6.01,6.30,6.67,6.77,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.00,0.48,1.15,
  └─ Equipments,1.17,1.21,1.27,8.47,10.48,10.65,2.41,
  └─ Computers,2.40,5.88,7.20,11.01,11.37,11.45,16.10,
  └─ Furniture n fittings,0.91,0.99,0.99,1.35,2.02,2.26,2.03,
  └─ Vehicles,1.46,1.18,1.18,0.43,0.43,0.46,0.47,
  └─ Intangible Assets,0.00,0.00,0.00,0.25,0.25,0.28,0.04,0.00
  └─ Other fixed assets,0.01,0.00,0.00,1.08,1.07,1.21,1.31,
  └─ Gross Block,6.13,9.44,10.82,28.60,31.92,34.71,32.07,
  └─ Accumulated Depreciation,3.19,5.64,8.18,12.36,18.65,22.85,18.57,
CWIP,0,0,0,0,0,1,2,0
Investments,0,5,5,0,19,26,43,62
Other Assets,26,26,34,36,41,59,58,60
  └─ Inventories,0.13,0.30,0.61,0.85,0.62,0.92,2.01,2.46
  └─ Trade receivables,6.12,6.41,16.15,10.96,14.31,26.71,28.47,42.29
  └─ Cash Equivalents,12.81,1.46,0.71,3.87,9.41,8.49,5.41,4.79
  └─ Loans n Advances,0.05,0.12,0.09,18.15,14.10,18.79,17.95,6.71
  └─ Other asset items,6.75,17.79,16.23,2.03,2.80,4.20,3.84,4.21
Total Assets,29,35,41,52,74,98,116,140
