Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2017
Equity Capital,13,15,18,110,143,143,143
Reserves,195,292,413,632,1221,1306,1352
Borrowings,417,446,439,558,503,505,413
  └─ Long term Borrowings,,,343,430,364,339,374
  └─ Short term Borrowings,,,25,28,33,36,39
  └─ Preference Capital,0,2,2,2,0,0,0
  └─ Other Borrowings,417,444,68,97,106,130,
Other Liabilities,34,44,47,60,130,135,204
  └─ Non controlling int,-0,-0,-0,1,-0,-0,-0
  └─ Trade Payables,5,12,1,12,72,61,69
  └─ Other liability items,28,32,46,47,58,74,135
Total Liabilities,660,797,917,1359,1996,2089,2112
Fixed Assets,549,620,656,1073,1171,1194,1235
  └─ Land,339.40,352.43,377.20,703.32,808.06,812.59,
  └─ Building,66.89,70.71,80.76,91.08,91.21,110.11,
  └─ Plant Machinery,46.80,56.66,58.20,61.95,65.36,64.02,
  └─ Equipments,1.82,2.08,2.21,2.87,3.96,5.86,
  └─ Computers,5.14,5.92,4.69,8.22,8.91,9.42,
  └─ Furniture n fittings,2.09,2.48,2.56,2.60,2.71,9.40,
  └─ Railway sidings,43.93,84.30,90.48,156.34,154.17,154.17,
  └─ Vehicles,62.59,75.99,80.50,106.49,114.84,124.85,
  └─ Intangible Assets,0.03,0.03,0.03,0.01,0.01,0.01,1.72
  └─ Other fixed assets,0.00,-0.02,2.05,0.01,0.42,0.41,
  └─ Gross Block,568.69,650.58,698.68,1132.89,1249.65,1290.84,
  └─ Accumulated Depreciation,20.16,30.22,43.13,59.43,78.93,97.00,
CWIP,1,0,44,27,275,517,585
Investments,0,20,20,5,46,46,0
Other Assets,111,156,198,253,505,332,292
  └─ Inventories,0,0,0,2,4,6,7
  └─ Trade receivables,60,63,76,77,48,45,88
  └─ Cash Equivalents,0,4,1,1,290,129,26
  └─ Loans n Advances,11,31,30,24,3,4,0
  └─ Other asset items,39,57,90,149,160,148,171
Total Assets,660,797,917,1359,1996,2089,2112
