Metric,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2013
Equity Capital,9,9,9,9,9,9,9,9,9,9,10,10,
Reserves,141,140,171,142,151,102,91,109,169,183,301,361,
Borrowings,192,235,151,176,153,402,334,338,175,141,149,400,
  └─ Long term Borrowings,146,138,135,140,131,211,198,108,136,111,120,342,
  └─ Short term Borrowings,20,80,1,0,0,170,109,185,5,7,11,56,
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,0,2,2,
  └─ Other Borrowings,26,17,16,35,22,21,27,45,33,24,16,,
Other Liabilities,189,219,134,111,56,142,124,152,139,109,121,247,
  └─ Non controlling int,0,0,5,6,8,-16,-31,-30,0,0,0,0,
  └─ Trade Payables,37,40,57,27,23,55,42,65,45,49,46,52,
  └─ Advance from Customers,126,92,29,36,2,49,40,59,56,36,48,,
  └─ Other liability items,27,87,43,42,23,54,74,58,38,24,27,195,
Total Liabilities,531,603,465,437,368,654,558,607,492,442,581,1018,
Fixed Assets,13,34,12,11,9,8,19,20,20,21,20,23,
  └─ Land,1.79,1.79,1.79,1.79,1.66,1.57,1.47,1.47,1.47,1.57,1.57,,
  └─ Building,9.88,10.11,10.11,10.11,8.12,6.71,5.31,6.60,6.65,7.63,5.45,,
  └─ Plant Machinery,1.29,1.36,1.26,1.26,1.30,1.17,1.47,1.51,1.51,1.24,1.98,,
  └─ Equipments,0.88,1.04,0.84,0.87,0.92,1.00,1.25,1.30,1.45,1.29,1.44,,
  └─ Furniture n fittings,2.16,2.28,2.32,2.32,2.32,2.35,2.77,2.94,3.20,2.80,2.81,,
  └─ Vehicles,2.55,2.68,3.37,3.64,3.55,3.58,4.32,4.68,4.68,2.73,3.88,,
  └─ Intangible Assets,0.00,22.02,0.00,0.00,0.00,0.00,11.43,11.55,11.55,11.55,11.55,11.55,
  └─ Other fixed assets,0.19,0.18,0.44,0.43,0.44,0.44,0.45,0.44,0.43,0.43,0.44,,
  └─ Gross Block,18.74,41.46,20.13,20.42,18.31,16.82,28.47,30.49,30.94,29.24,29.12,,
  └─ Accumulated Depreciation,5.40,7.51,8.36,9.34,9.18,9.25,9.74,10.27,10.67,8.63,9.03,,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,
Investments,17,30,45,43,35,33,33,33,33,34,23,325,
Other Assets,500,539,408,383,324,614,506,554,438,387,538,669,
  └─ Inventories,124,129,127,105,108,113,95,96,135,122,176,253,
  └─ Trade receivables,35,80,49,82,44,41,42,44,44,44,39,76,
    └─ Receivables over 6m,20.70,47.58,15.57,17.47,7.14,15.60,17.48,18.00,25.00,19.75,19.60,,65.82
    └─ Receivables under 6m,14.67,32.17,33.64,64.51,36.55,25.71,24.74,25.69,19.36,24.22,19.12,,26.78
  └─ Cash Equivalents,30,8,5,9,3,21,12,7,29,9,71,38,
  └─ Loans n Advances,50,95,70,35,29,86,108,91,54,61,76,221,
  └─ Other asset items,260,227,158,152,141,353,249,317,176,152,177,81,
Total Assets,531,603,465,437,368,654,558,607,492,442,581,1018,
