Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,136,132,132,132,132,132,132,132,132
Reserves,3120,3197,3591,3902,4262,4296,4872,5448,5741
Borrowings,123,123,123,540,554,587,502,560,1672
  └─ Long term Borrowings,123,123,123,123,126,23,23,23,23
  └─ Short term Borrowings,0,0,0,0,0,110,0,46,1076
  └─ Lease Liabilities,0,0,0,417,428,454,479,491,573
  └─ Other Borrowings,0,0,0,0,0,0,0,-0,
Other Liabilities,2109,1799,2565,2976,3467,5006,6531,7253,6986
  └─ Non controlling int,6,5,0,0,0,0,0,0,0
  └─ Trade Payables,272,347,419,435,169,216,465,501,962
  └─ Advance from Customers,896,7,7,8,252,259,208,298,
  └─ Other liability items,935,1440,2139,2533,3047,4531,5858,6454,6024
Total Liabilities,5487,5251,6411,7549,8414,10021,12037,13393,14531
Fixed Assets,349,376,764,867,970,953,968,3047,3164
  └─ Land,5.88,5.88,401.38,430.70,507.35,519.54,465.69,467.43,
  └─ Building,96.28,134.84,139.37,188.46,196.78,202.01,107.23,149.21,
  └─ Plant Machinery,173.60,184.32,194.29,253.92,296.19,313.57,354.91,1442.53,
  └─ Ships Vessels,0.20,0.20,0.20,0.20,0.20,0.22,0.56,0.95,
  └─ Equipments,2.09,2.35,3.82,4.95,5.65,6.57,7.57,10.54,
  └─ Computers,8.69,9.24,13.46,18.45,24.46,27.74,30.64,37.86,
  └─ Furniture n fittings,21.67,28.40,30.03,32.34,41.90,46.24,43.04,49.20,
  └─ Railway sidings,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
  └─ Vehicles,4.94,5.15,5.99,6.20,6.75,6.78,6.79,9.54,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.93
  └─ Other fixed assets,140.38,141.98,158.18,191.93,214.54,226.00,426.58,1458.40,
  └─ Gross Block,453.74,512.37,946.73,1127.16,1293.83,1348.68,1443.02,3625.67,
  └─ Accumulated Depreciation,104.75,136.34,183.11,260.01,324.18,395.72,475.46,578.64,
CWIP,121,342,799,1176,1264,1619,2196,516,586
Investments,0,0,0,0,0,0,0,0,113
Other Assets,5017,4532,4848,5506,6180,7449,8873,9830,10667
  └─ Inventories,318,288,318,464,298,373,1026,1885,2288
  └─ Trade receivables,580,392,288,353,437,338,303,229,423
    └─ Receivables over 6m,0,0,0,266,211,290,222,64,
    └─ Receivables under 6m,673,524,424,190,330,159,202,191,
    └─ Prov for Doubtful,-93,-131,-136,-102,-104,-110,-121,-26,
  └─ Cash Equivalents,3505,2577,2195,2209,3213,4758,3864,3113,2406
  └─ Loans n Advances,108,235,549,860,1090,418,2466,3176,10
  └─ Other asset items,505,1040,1498,1619,1142,1562,1214,1427,5540
Total Assets,5487,5251,6411,7549,8414,10021,12037,13393,14531
