Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16
Reserves,120,133,87
Borrowings,107,96,105
  └─ Long term Borrowings,13,9,7
  └─ Short term Borrowings,75,72,95
  └─ Lease Liabilities,11,8,3
  └─ Other Borrowings,8,7,
Other Liabilities,91,121,106
  └─ Trade Payables,66,91,76
  └─ Advance from Customers,5,3,
  └─ Other liability items,20,27,31
Total Liabilities,334,366,315
Fixed Assets,148,163,159
  └─ Land,1.13,8.66,
  └─ Building,37.12,37.48,
  └─ Plant Machinery,137.91,154.60,
  └─ Equipments,9.45,9.90,
  └─ Computers,1.98,1.99,
  └─ Furniture n fittings,11.27,11.57,
  └─ Vehicles,5.53,5.54,
  └─ Intangible Assets,20.27,30.79,32.98
  └─ Other fixed assets,30.43,24.28,
  └─ Gross Block,255.09,284.81,
  └─ Accumulated Depreciation,107.42,122.08,
CWIP,8,3,0
Investments,0,0,0
Other Assets,178,201,156
  └─ Inventories,124,139,103
  └─ Trade receivables,28,39,40
    └─ Receivables over 6m,1.50,9.34,
    └─ Receivables under 6m,26.45,29.73,
  └─ Cash Equivalents,1,3,1
  └─ Loans n Advances,3,4,0
  └─ Other asset items,22,17,12
Total Assets,334,366,315
