Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,4,8
Reserves,405,560,723,766,889,984,1126,1266
Borrowings,247,94,58,174,28,80,85,1
  └─ Long term Borrowings,40.00,22.00,0.00,1.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,206.99,71.86,58.45,172.61,27.94,80.47,85.22,1.23
  └─ Other Borrowings,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,
Other Liabilities,100,94,122,142,152,129,193,157
  └─ Trade Payables,45,39,61,68,75,73,142,97
  └─ Advance from Customers,0,1,1,12,9,1,2,
  └─ Other liability items,55,54,60,62,68,55,49,60
Total Liabilities,756,752,908,1086,1074,1197,1408,1433
Fixed Assets,150,203,191,228,225,230,230,246
  └─ Land,23.65,23.65,8.39,27.33,27.33,27.19,27.19,
  └─ Building,74.06,89.36,97.96,105.43,105.93,108.31,108.32,
  └─ Plant Machinery,169.61,229.48,245.91,281.00,302.07,330.24,354.42,
  └─ Equipments,3.01,3.39,6.65,6.69,6.72,7.19,7.23,
  └─ Computers,1.89,2.08,2.17,2.26,2.37,2.60,2.14,
  └─ Furniture n fittings,1.42,1.48,1.48,1.48,1.48,1.64,1.64,
  └─ Vehicles,0.95,1.11,1.36,1.25,1.58,1.52,1.58,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
  └─ Other fixed assets,1.17,1.14,1.18,1.25,1.25,1.26,1.24,
  └─ Gross Block,275.76,351.69,365.10,426.69,448.73,479.95,503.76,
  └─ Accumulated Depreciation,125.62,148.45,174.21,198.82,224.17,249.72,274.26,
CWIP,35,18,18,11,11,6,15,46
Investments,0,9,150,43,67,143,298,324
Other Assets,570,522,549,803,771,818,865,816
  └─ Inventories,210,160,169,277,323,267,290,331
  └─ Trade receivables,279,251,296,464,325,394,419,385
    └─ Receivables over 6m,0,0,0,0,0,14,23,
    └─ Receivables under 6m,279,251,296,464,325,380,396,
  └─ Cash Equivalents,9,51,33,6,34,49,56,23
  └─ Loans n Advances,30,33,21,23,20,12,12,2
  └─ Other asset items,41,27,31,33,70,97,87,75
Total Assets,756,752,908,1086,1074,1197,1408,1433
