Metric,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015
Equity Capital,249.85,29.99,39.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99
Reserves,-213.50,68.87,57.69,85.53,92.42,95.14,98.78,97.62,88.57,87.29
Borrowings,26.74,4.59,10.53,7.52,6.75,4.87,11.71,10.13,10.13,0.12
  └─ Long term Borrowings,,,,,,4.87,11.71,10.13,10.13,0.12
  └─ Other Borrowings,26.74,4.59,10.53,7.52,6.75,0.00,0.00,0.00,0.00,0.00
Other Liabilities,26.91,28.58,38.83,27.79,32.73,22.66,10.66,9.13,5.26,15.36
  └─ Trade Payables,5.68,9.18,11.18,7.33,6.32,14.39,8.02,6.45,2.61,12.71
  └─ Other liability items,21.23,19.40,27.65,20.46,26.41,8.27,2.64,2.68,2.65,2.65
Total Liabilities,90.00,132.03,147.04,180.83,191.89,182.66,181.14,176.87,163.95,162.76
Fixed Assets,46.85,98.40,97.38,135.53,155.64,157.39,156.91,155.74,148.08,149.39
  └─ Land,1,3,0,0,0,0,0,0,0,0
  └─ Building,12,12,0,0,0,0,0,0,0,0
  └─ Equipments,9,5,1,1,1,1,1,1,1,1
  └─ Computers,52,37,41,19,21,21,22,22,22,22
  └─ Furniture n fittings,23,12,12,3,3,3,3,3,3,3
  └─ Intangible Assets,7,78,92,134,154,156,156,155,148,149
  └─ Gross Block,104,148,145,157,179,181,181,181,173,175
  └─ Accumulated Depreciation,57,50,48,21,23,24,24,25,25,25
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,43.15,33.63,49.66,25.30,36.25,25.27,24.23,21.13,15.87,13.37
  └─ Trade receivables,7.86,14.32,43.96,18.35,24.72,15.38,6.98,7.57,5.88,5.18
    └─ Receivables over 6m,268.70,13.97,8.62,20.89,8.28,8.72,3.47,5.23,2.84,3.16
    └─ Receivables under 6m,7.86,0.35,35.34,11.43,16.44,6.66,3.50,2.34,3.04,2.03
    └─ Prov for Doubtful,-268.70,-0.00,-0.00,-13.97,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Cash Equivalents,2.51,5.06,1.83,0.24,2.82,0.80,0.78,0.76,0.74,0.65
  └─ Loans n Advances,2.59,-16.58,-11.00,0.45,0.51,0.50,0.56,0.63,0.63,0.63
  └─ Other asset items,30.19,30.83,14.87,6.26,8.20,8.59,15.91,12.17,8.62,6.91
Total Assets,90.00,132.03,147.04,180.83,191.89,182.66,181.14,176.87,163.95,162.76
