Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2010,Mar 2011,Mar 2012
Equity Capital,146,292,313,314,314,314,314,21365,21365,23365,45,45,,,
Reserves,4836,5098,7417,8684,7624,-5860,-20959,823,-6584,-8470,27051,28103,,,
Borrowings,48881,61050,81511,91979,96812,90412,89851,46416,41233,45680,65577,79989,,,
  └─ Long term Borrowings,36872,45119,66999,83784,94782,0,,0,0,0,65577,79989,,,
  └─ Short term Borrowings,3637,6437,4270,8195,2030,0,,0,0,0,0,0,,,
  └─ Other Borrowings,8372,9493,10242,0,0,90412,,46416,41233,45680,,,,,
Other Liabilities,1567,2805,3048,5367,1853,964,1153,11036,6253,5283,2271,2409,,,
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,0,43,,,
  └─ Trade Payables,9,33,23,104,102,121,76,520,293,356,415,427,,,
  └─ Advance from Customers,57,193,82,0,152,131,,74,140,267,,,,,
  └─ Other liability items,1500,2579,2944,5263,1599,711,1077,10442,5819,4660,1856,1939,,,
Total Liabilities,55429,69245,92290,106344,106602,85830,70359,79640,62266,65858,94943,110546,,,
Fixed Assets,191,508,211,850,865,920,940,10820,1616,1768,3311,2468,,,
  └─ Land,0,0,0,0,0,0,,367,251,220,,,,,
  └─ Building,131,156,195,720,687,693,,29,304,396,,,,,
  └─ Plant Machinery,0,0,0,0,0,0,,0,0,0,,,,,
  └─ Equipments,24,25,36,55,57,58,,7,29,90,,,,,
  └─ Computers,34,38,35,54,56,54,,19,60,63,,,,,
  └─ Furniture n fittings,59,64,29,30,28,29,,3,12,43,,,,,
  └─ Vehicles,1,1,2,3,4,2,,2,3,4,,,,,
  └─ Intangible Assets,0,295,0,0,0,0,144,10257,2,2,258,260,,,
  └─ Other fixed assets,18,27,21,11,91,215,,249,1196,1302,,,,,
  └─ Gross Block,267,608,318,874,923,1052,,10934,1858,2120,,,,,
  └─ Accumulated Depreciation,76,100,107,24,58,131,,113,241,352,,,,,
CWIP,810,590,634,129,104,105,0,12,4,10,0,0,,,
Investments,1751,1811,13509,8120,2498,3881,8449,13851,12966,8307,12539,9814,,,
Other Assets,52677,66336,77936,97245,103135,80924,60970,54956,47681,55773,79094,98264,,,
  └─ Trade receivables,196,218,12,43,5,3,0,0,5,2,6,13,,,
    └─ Receivables over 6m,0.00,0.00,0.95,0.00,0.00,0.00,,0.00,3.41,4.14,,,7.00,0.00,0.00
    └─ Receivables under 6m,196.14,218.20,11.48,43.69,4.76,2.75,,0.00,3.80,0.90,,,2.68,47.37,57.38
    └─ Prov for Doubtful,0.00,0.00,0.00,-0.95,0.00,0.00,,0.00,-2.70,-2.70,,,0.00,0.00,0.00
  └─ Cash Equivalents,687,3497,3430,2954,3032,7720,10324,5160,2620,2950,6276,5568,,,
  └─ Loans n Advances,2375,3371,4517,147,452,463,38455,647,561,366,65791,84838,,,
  └─ Other asset items,49418,59250,69976,94102,99646,72738,12191,49149,44496,52455,7021,7845,,,
Total Assets,55429,69245,92290,106344,106602,85830,70359,79640,62266,65858,94943,110546,,,
