bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Bharat Petroleum Corporation Limited,02-Feb-2026,10,-,INE029A01011,-,-,02-Feb-2026,EQ,Interim Dividend - Rs 10 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,07-Nov-2025,10,-,INE029A01011,-,-,07-Nov-2025,EQ,Interim Dividend - Rs 7.50 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,31-Jul-2025,10,-,INE029A01011,-,-,31-Jul-2025,EQ,Dividend - Rs 5 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,29-Jan-2025,10,-,INE029A01011,-,-,29-Jan-2025,EQ,Interim Dividend - Rs 5 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,09-Aug-2024,10,-,INE029A01011,-,-,09-Aug-2024,EQ,Dividend - Rs 10.5 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,21-Jun-2024,10,-,INE029A01011,-,-,22-Jun-2024,EQ,Bonus 1:1,BPCL
-,-,,Bharat Petroleum Corporation Limited,12-Dec-2023,10,-,INE029A01011,-,-,12-Dec-2023,EQ,Interim Dividend - Rs 21 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,11-Aug-2023,10,-,INE029A01011,-,-,11-Aug-2023,EQ,Dividend - Rs 4 Per Share,BPCL
29-Aug-2022,23-Aug-2022,,Bharat Petroleum Corporation Limited,19-Aug-2022,10,-,INE029A01011,-,-,-,EQ,Annual General Meeting/Dividend - Rs 6 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,10-Feb-2022,10,-,INE029A01011,-,-,11-Feb-2022,EQ,Interim Dividend - Rs 5 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,11-Nov-2021,10,-,INE029A01011,-,-,12-Nov-2021,EQ, Interim Dividend - Rs 5 Per Share,BPCL
27-Sep-2021,18-Sep-2021,,Bharat Petroleum Corporation Limited,16-Sep-2021,10,-,INE029A01011,-,-,-,EQ, Annual General Meeting/Dividend - Rs 23 Per Share/Special Dividend - Rs 35 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,25-Mar-2021,10,-,INE029A01011,-,-,27-Mar-2021,EQ, Interim Dividend - Rs 5 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,17-Feb-2021,10,-,INE029A01011,-,-,19-Feb-2021,EQ, Interim Dividend - Rs 16 Per Share,BPCL
28-Sep-2020,22-Sep-2020,,Bharat Petroleum Corporation Limited,18-Sep-2020,10,-,INE029A01011,-,-,-,EQ, Annual General Meeting,BPCL
-,-,,Bharat Petroleum Corporation Limited,23-Mar-2020,10,-,INE029A01011,-,-,24-Mar-2020,EQ, Interim Dividend - Rs 16.50 Per Share,BPCL
30-Aug-2019,23-Aug-2019,,Bharat Petroleum Corporation Limited,21-Aug-2019,10,-,INE029A01011,-,-,-,EQ, Dividend - Rs 8 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,21-Feb-2019,10,-,INE029A01011,-,-,23-Feb-2019,EQ, Interim Dividend Rs - 11 Per Share,BPCL
11-Sep-2018,04-Sep-2018,,Bharat Petroleum Corporation Limited,31-Aug-2018,10,-,INE029A01011,-,-,-,EQ, Annual General Meeting/Dividend Rs- 7 Per Share,BPCL
-,-,,Bharat Petroleum Corporation Limited,22-Feb-2018,10,-,INE029A01011,-,-,24-Feb-2018,EQ, Interim Dividend - Rs 14 Per Share,BPCL
