bm_date,bm_purpose,bm_desc,attachment
28-Jul-2026 12:16:21,Copy of Newspaper Publication,Submission of Advertisement clipping of the extract of the Unaudited Standalone and Consolidated Financial results of the Company for the Quarter ended 30th June 2026.,https://nsearchives.nseindia.com/corporate/PANKAJCHAWLA_28072026121608_Newspaper_Advertisment.pdf
27-Jul-2026 17:23:51,Outcome of Board Meeting,"Godfrey Phillips India Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",https://nsearchives.nseindia.com/corporate/PANKAJCHAWLA_27072026171956_Outcome_of_Board_Meeting_27th_July_2026.pdf
